wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1535.279999999986, -1.77240467E+01, -1.77215271E+01, -1.77199306E+01, -1.77219124E+01, -1.77223835E+01, -1.77222462E+01, -1.77235336E+01, -1.77246151E+01, -1.77265453E+01, -1.77269478E+01
1535.281999999986, -1.77156429E+01, -1.77201538E+01, -1.77219448E+01, -1.77214470E+01, -1.77197475E+01, -1.77180557E+01, -1.77200851E+01, -1.77203541E+01, -1.77190170E+01, -1.77205486E+01
1535.283999999986, -1.77201118E+01, -1.77201424E+01, -1.77189045E+01, -1.77196274E+01, -1.77202225E+01, -1.77154503E+01, -1.77106571E+01, -1.77125950E+01, -1.77120914E+01, -1.77150097E+01
1535.285999999986, -1.77192078E+01, -1.77185268E+01, -1.77185936E+01, -1.77180977E+01, -1.77175159E+01, -1.77167110E+01, -1.77157974E+01, -1.77156086E+01, -1.77159271E+01, -1.77161331E+01
1535.287999999986, -1.77109051E+01, -1.77131748E+01, -1.77118511E+01, -1.77118473E+01, -1.77123356E+01, -1.77120266E+01, -1.77110004E+01, -1.77107334E+01, -1.77087879E+01, -1.77056160E+01
1535.2899999999859, -1.77049847E+01, -1.77059479E+01, -1.77063065E+01, -1.77036057E+01, -1.77017727E+01, -1.76982822E+01, -1.77008514E+01, -1.77012081E+01, -1.77000484E+01, -1.77007332E+01
1535.2919999999858, -1.77042809E+01, -1.77026615E+01, -1.77033234E+01, -1.77042732E+01, -1.77044430E+01, -1.77037716E+01, -1.77017593E+01, -1.77038975E+01, -1.77043076E+01, -1.77040157E+01
1535.2939999999858, -1.77003345E+01, -1.77001476E+01, -1.76980820E+01, -1.76960335E+01, -1.76979504E+01, -1.76995888E+01, -1.76996365E+01, -1.76993771E+01, -1.76971226E+01, -1.76965027E+01
1535.2959999999857, -1.76962414E+01, -1.76976528E+01, -1.76982937E+01, -1.76972771E+01, -1.76975517E+01, -1.76977005E+01, -1.76967850E+01, -1.76963806E+01, -1.76965294E+01, -1.76954517E+01
1535.2979999999857, -1.76960659E+01, -1.76955395E+01, -1.76949081E+01, -1.76946678E+01, -1.76938324E+01, -1.76948547E+01, -1.76940155E+01, -1.76944847E+01, -1.76934586E+01, -1.76926861E+01
1535.2999999999856, -1.76871929E+01, -1.76854248E+01, -1.76857777E+01, -1.76841278E+01, -1.76830292E+01, -1.76843967E+01, -1.76842823E+01, -1.76827145E+01, -1.76833172E+01, -1.76825485E+01
1535.3019999999856, -1.76799831E+01, -1.76803284E+01, -1.76796055E+01, -1.76793690E+01, -1.76798782E+01, -1.76790390E+01, -1.76774731E+01, -1.76779194E+01, -1.76779900E+01, -1.76776924E+01
