wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1540.0, -19.2354889, -19.2366161, -19.237711, -19.2383366, -19.2382526, -19.2386627, -19.2385731, -19.238121, -19.2368317, -19.2365913
1540.01, -19.2299347, -19.2294788, -19.2307911, -19.2294006, -19.229105, -19.230135, -19.2311268, -19.2310524, -19.2307167, -19.2312298
1540.02, -19.2152672, -19.2164955, -19.2165604, -19.2167492, -19.2168884, -19.2167225, -19.2179298, -19.2196674, -19.2196369, -19.2189388
1540.03, -19.1923695, -19.1916008, -19.1898632, -19.188385, -19.1877823, -19.1875324, -19.187582, -19.1877251, -19.187851, -19.1879959
1540.04, -19.1440582, -19.1426773, -19.1430016, -19.1439133, -19.1446667, -19.1449471, -19.1451893, -19.145525, -19.1452885, -19.1456432
1540.05, -19.0972481, -19.0966072, -19.0959282, -19.0967236, -19.0952816, -19.0954037, -19.0953159, -19.0957508, -19.0961418, -19.0963898
1540.06, -19.03792, -19.0378819, -19.0390968, -19.0389214, -19.0395756, -19.0396805, -19.0402164, -19.0403481, -19.040432, -19.0407619
1540.07, -18.9994488, -18.9993267, -18.9980354, -18.9966908, -18.9977551, -18.9995689, -18.999157, -18.9993477, -18.9994717, -18.9997768
1540.08, -18.9546604, -18.9543533, -18.9549904, -18.9548645, -18.9542484, -18.9539242, -18.9548016, -18.9548054, -18.9553051, -18.9546661
1540.09, -18.9298916, -18.9319267, -18.9316673, -18.9313393, -18.9319191, -18.9325371, -18.933054, -18.933075, -18.9344254, -18.9360561
1540.1, -18.9142227, -18.9178867, -18.9187241, -18.9204769, -18.9213734, -18.9212894, -18.921072, -18.9189091, -18.9201031, -18.9218941
1540.11, -18.9267845, -18.9267063, -18.9258251, -18.9267216, -18.9265022, -18.9265347, -18.9261894, -18.9266605, -18.9271622, -18.9270687
1540.12, -18.956213, -18.9565048, -18.9630508, -18.9632587, -18.9631939, -18.9625111, -18.9622669, -18.9628677, -18.9631577, -18.9629669
1540.1299999999999, -18.9897137, -18.9900036, -18.9887657, -18.9911289, -18.990736, -18.9897728, -18.9889488, -18.988945, -18.9889603, -18.9901485
1540.1399999999999, -19.0324039, -19.0326424, -19.032959, -19.0334225, -19.0329762, -19.0331059, -19.0331059, -19.0340805, -19.0342369, -19.0328655
1540.1499999999999, -19.0790386, -19.0776825, -19.0784683, -19.0785198, -19.0795231, -19.0799713, -19.0799255, -19.0789413, -19.0794296, -19.0805702
1540.1599999999999, -19.1226082, -19.123333, -19.1241322, -19.1237774, -19.1230984, -19.1208286, -19.1177845, -19.1193066, -19.1196175, -19.1210251
1540.1699999999998, -19.1485844, -19.1515369, -19.1531448, -19.1531277, -19.1523876, -19.151762, -19.1531925, -19.1536274, -19.1530647, -19.1534386
1540.1799999999998, -19.1831207, -19.1830196, -19.1819096, -19.18186, -19.1823902, -19.1815338, -19.1822414, -19.1818962, -19.1799393, -19.181591
1540.1899999999998, -19.1880932, -19.1882896, -19.188055, -19.1882496, -19.1880436, -19.1874046, -19.1878223, -19.1872826, -19.1873569, -19.1874847
1540.1999999999998, -19.1818142, -19.1812477, -19.1788235, -19.1789532, -19.1788082, -19.1787491, -19.1786442, -19.1783504, -19.1785679, -19.1785755
1540.2099999999998, -19.1674271, -19.1680145, -19.1692333, -19.1696415, -19.1691456, -19.1694031, -19.1688709, -19.1683559, -19.1685581, -19.1684914
1540.2199999999998, -19.1377258, -19.1396332, -19.1395397, -19.1406574, -19.1414738, -19.1407547, -19.1388969, -19.1390533, -19.138834, -19.1382828
1540.2299999999998, -19.1031322, -19.102663, -19.1032352, -19.1042042, -19.1039772, -19.104353, -19.1037712, -19.1043663, -19.1046619, -19.1043854
1540.2399999999998, -19.0696793, -19.0675297, -19.0678864, -19.0666828, -19.0688019, -19.0691013, -19.0686855, -19.0688019, -19.070055, -19.0705662
1540.2499999999998, -19.0305061, -19.0309639, -19.0308552, -19.0294342, -19.0297031, -19.0292492, -19.0291595, -19.030056, -19.0309639, -19.0317631
1540.2599999999998, -18.9917507, -18.9916649, -18.9904823, -18.9911366, -18.9913464, -18.991539, -18.9922829, -18.9916973, -18.9910221, -18.9897804
1540.2699999999998, -18.9576988, -18.9562416, -18.9561977, -18.9556656, -18.9556389, -18.958498, -18.9577522, -18.9569702, -18.9579659, -18.9591599
1540.2799999999997, -18.9370174, -18.9379253, -18.9384403, -18.938818, -18.9371567, -18.9369144, -18.9371223, -18.938549, -18.9380226, -18.9380322
1540.2899999999997, -18.9313431, -18.9317932, -18.9310875, -18.9308758, -18.9302502, -18.9294128, -18.9300556, -18.9294395, -18.9300995, -18.9308529
1540.2999999999997, -18.9375725, -18.9378738, -18.937706, -18.9384995, -18.9393272, -18.9392529, -18.9389, -18.938324, -18.9397945, -18.9392662
1540.3099999999997, -18.956892, -18.9574242, -18.9579506, -18.9572754, -18.9580193, -18.9579201, -18.9577789, -18.9575233, -18.9570961, -18.9575577
1540.3199999999997, -18.9959393, -18.9957237, -18.9953957, -18.9945297, -18.993885, -18.9918766, -18.9937382, -18.9949932, -18.9944687, -18.9935455
1540.3299999999997, -19.0284615, -19.0278835, -19.0294209, -19.0305939, -19.0303478, -19.0300827, -19.030241, -19.0298882, -19.0295734, -19.0295658
1540.3399999999997, -19.0797253, -19.0791111, -19.0795059, -19.0800076, -19.078474, -19.080061, -19.0810146, -19.0810642, -19.0800152, -19.0795593
1540.3499999999997, -19.1173058, -19.1180248, -19.1177273, -19.1172924, -19.1168995, -19.1168537, -19.1158962, -19.1153774, -19.1151562, -19.1156921
1540.3599999999997, -19.1462898, -19.147049, -19.1477032, -19.1473446, -19.1467991, -19.1446838, -19.1468334, -19.1473866, -19.1476917, -19.1470356
1540.3699999999997, -19.1666241, -19.1667442, -19.1660461, -19.1656628, -19.1661949, -19.1653595, -19.1661625, -19.1663876, -19.1662769, -19.1667671
1540.3799999999997, -19.1705341, -19.1710243, -19.1709461, -19.1700592, -19.1711998, -19.1711483, -19.1723289, -19.1723785, -19.1709118, -19.1725788
1540.3899999999996, -19.1690178, -19.1690464, -19.1681957, -19.1683617, -19.1681309, -19.1683521, -19.1687565, -19.1687546, -19.1684837, -19.1682281
1540.3999999999996, -19.1566792, -19.1568184, -19.157238, -19.1568565, -19.1567249, -19.1560345, -19.1548386, -19.1567192, -19.1571789, -19.1568317
1540.4099999999996, -19.1364117, -19.1362686, -19.1357079, -19.135313, -19.134325, -19.1354771, -19.1352921, -19.1362095, -19.1360989, -19.1368198
1540.4199999999996, -19.1023293, -19.1027412, -19.1025028, -19.1021652, -19.1004162, -19.1017857, -19.1016903, -19.1011906, -19.101202, -19.1003723
1540.4299999999996, -19.0522385, -19.0526466, -19.0577831, -19.0594006, -19.0605621, -19.0600662, -19.059742, -19.06077, -19.0610027, -19.0603542
