wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1541.67, -1.91010590E+01, -1.91007309E+01, -1.91013050E+01, -1.91023045E+01, -1.91018124E+01, -1.91015587E+01, -1.91019115E+01, -1.91009216E+01, -1.91021347E+01, -1.91022663E+01
1541.672, -1.90939121E+01, -1.90939617E+01, -1.90935116E+01, -1.90933723E+01, -1.90931931E+01, -1.90933838E+01, -1.90927372E+01, -1.90927525E+01, -1.90931587E+01, -1.90932579E+01
1541.674, -1.90855961E+01, -1.90856571E+01, -1.90859642E+01, -1.90860138E+01, -1.90859451E+01, -1.90858860E+01, -1.90862999E+01, -1.90865898E+01, -1.90853710E+01, -1.90849552E+01
1541.676, -1.90802002E+01, -1.90802860E+01, -1.90808830E+01, -1.90809689E+01, -1.90806141E+01, -1.90803108E+01, -1.90800781E+01, -1.90809937E+01, -1.90812645E+01, -1.90809479E+01
1541.6779999999999, -1.90778599E+01, -1.90773945E+01, -1.90774918E+01, -1.90778103E+01, -1.90770683E+01, -1.90773659E+01, -1.90766315E+01, -1.90769176E+01, -1.90762501E+01, -1.90763397E+01
1541.6799999999998, -1.90699120E+01, -1.90695820E+01, -1.90705967E+01, -1.90705814E+01, -1.90699120E+01, -1.90695000E+01, -1.90698433E+01, -1.90703640E+01, -1.90703316E+01, -1.90696449E+01
1541.6819999999998, -1.90555420E+01, -1.90553246E+01, -1.90558586E+01, -1.90555687E+01, -1.90557766E+01, -1.90561676E+01, -1.90562687E+01, -1.90561504E+01, -1.90557938E+01, -1.90558872E+01
1541.6839999999997, -1.90476093E+01, -1.90478611E+01, -1.90480118E+01, -1.90480556E+01, -1.90484810E+01, -1.90477848E+01, -1.90478458E+01, -1.90478001E+01, -1.90480289E+01, -1.90485649E+01
1541.6859999999997, -1.90405941E+01, -1.90404739E+01, -1.90406704E+01, -1.90410461E+01, -1.90417995E+01, -1.90421619E+01, -1.90423794E+01, -1.90412884E+01, -1.90415936E+01, -1.90425625E+01
1541.6879999999996, -1.90365410E+01, -1.90367393E+01, -1.90355377E+01, -1.90376110E+01, -1.90371017E+01, -1.90374432E+01, -1.90366917E+01, -1.90367603E+01, -1.90366821E+01, -1.90372066E+01
