wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1552.06, -20.7562141, -20.7570248, -20.7561302, -20.7545929, -20.7538662, -20.7538776, -20.7533875, -20.7540359, -20.7547188, -20.7551956
1552.07, -20.7773304, -20.7779732, -20.7784061, -20.7785378, -20.779253, -20.7798862, -20.7802048, -20.7803707, -20.7801208, -20.7809925
1552.08, -20.8110275, -20.8105793, -20.8108215, -20.810833, -20.8110065, -20.8114109, -20.8124695, -20.8133583, -20.8135376, -20.8133736
1552.09, -20.8437004, -20.8436508, -20.8438892, -20.8440056, -20.8439484, -20.8442192, -20.8443985, -20.8449497, -20.8461056, -20.8466835
1552.1, -20.8914261, -20.8925819, -20.8929787, -20.8939819, -20.8934612, -20.893837, -20.8940945, -20.894268, -20.8950329, -20.8952599
1552.11, -20.9373169, -20.937252, -20.9363861, -20.9365978, -20.9368362, -20.9374104, -20.9376755, -20.9382324, -20.9381256, -20.9394112
1552.12, -20.9746017, -20.9743214, -20.9735508, -20.9729786, -20.974453, -20.9743061, -20.9736099, -20.9739113, -20.9742928, -20.9737434
1552.1299999999999, -20.9960613, -20.9960442, -20.9956284, -20.9951458, -20.9952374, -20.9952602, -20.9957314, -20.9962044, -20.9967232, -20.9974422
1552.1399999999999, -21.0205956, -21.021143, -21.0217896, -21.022192, -21.0220165, -21.0224628, -21.0217953, -21.0215702, -21.0216675, -21.0218678
1552.1499999999999, -21.024313, -21.0234642, -21.0233345, -21.0234795, -21.0234146, -21.0233898, -21.023159, -21.0227623, -21.0228767, -21.0228767
