wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1550.5, -17.5142879, -17.5098724, -17.5041122, -17.5088482, -17.5153198, -17.517046, -17.5066128, -17.5044289, -17.5001717, -17.5041389
1550.51, -17.5201283, -17.5250969, -17.5510387, -17.5633907, -17.5589676, -17.5649948, -17.5673962, -17.567749, -17.5629368, -17.5699329
1550.52, -17.6257439, -17.6253052, -17.6264515, -17.6245556, -17.6237183, -17.6245651, -17.6232014, -17.6246548, -17.6232014, -17.6246853
1550.53, -17.6609535, -17.6590023, -17.6607609, -17.6610069, -17.6634922, -17.6592922, -17.662674, -17.6604462, -17.6589031, -17.6607876
1550.54, -17.692997, -17.6939507, -17.6934929, -17.6932831, -17.6956558, -17.6952229, -17.6940937, -17.6944256, -17.6968098, -17.6940174
1550.55, -17.7080421, -17.7072468, -17.7067089, -17.7087173, -17.7088795, -17.7072945, -17.7089691, -17.7085896, -17.7096939, -17.7074986
1550.56, -17.7016506, -17.7013416, -17.6996822, -17.6988182, -17.6998558, -17.7018261, -17.7031136, -17.7028427, -17.7024441, -17.701931
1550.57, -17.6803436, -17.6792755, -17.6779709, -17.676199, -17.6746597, -17.6774273, -17.678299, -17.677597, -17.6811142, -17.6816368
1550.58, -17.6458817, -17.6453209, -17.6448326, -17.6437855, -17.64118, -17.6410809, -17.6392021, -17.6413727, -17.6481361, -17.6479149
1550.59, -17.6135235, -17.6130962, -17.612009, -17.6133575, -17.6144695, -17.6141071, -17.612278, -17.6099262, -17.6085491, -17.6096058
1550.6, -17.5755177, -17.5759182, -17.5822086, -17.5806332, -17.5825939, -17.5825176, -17.581728, -17.5820084, -17.5810566, -17.5817089
1550.61, -17.5518818, -17.5554733, -17.5553894, -17.5548038, -17.556118, -17.5564346, -17.5556259, -17.5552502, -17.5565987, -17.5548401
1550.62, -17.5389462, -17.5374985, -17.5391865, -17.5373192, -17.5353241, -17.530159, -17.5339813, -17.5338898, -17.5371914, -17.5358047
