wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1531.3, -2.52093911, -2.52146006, -2.52156019, -2.52175331, -2.52170086, -2.52145243, -2.52118754, -2.52133489, -2.52177, -2.5212121
1531.3999999999999, -2.51885152, -2.51898289, -2.51888251, -2.51847172, -2.51963615, -2.51969719, -2.51944113, -2.51929426, -2.51932359, -2.51983666
1531.5, -2.51045918, -2.51034236, -2.51058221, -2.51072097, -2.51088405, -2.51058245, -2.510638, -2.51041937, -2.51110768, -2.51104712
1531.6, -2.50323272, -2.5031004, -2.50342655, -2.5031476, -2.50320196, -2.50382018, -2.50364256, -2.50324082, -2.5028162, -2.50332522
1531.7, -2.49993324, -2.49946213, -2.49997187, -2.49939156, -2.49909854, -2.49957752, -2.49984908, -2.49992323, -2.50015664, -2.50187159
1531.8, -2.49467516, -2.4939661, -2.49285531, -2.49308634, -2.49357343, -2.49311781, -2.49316406, -2.49326563, -2.49328756, -2.49334955
1531.8999999999999, -2.50031853, -2.50004196, -2.50014806, -2.50043488, -2.50059772, -2.50050497, -2.50059009, -2.5004344, -2.49989462, -2.49944687
1532.0, -2.50991702, -2.51011801, -2.51047349, -2.5103581, -2.51021791, -2.51036525, -2.50987792, -2.50997877, -2.510149, -2.51016474
1532.1, -2.51554012, -2.51495147, -2.51522303, -2.5156889, -2.5158515, -2.51497483, -2.5141232, -2.51424694, -2.51502991, -2.51536274
1532.2, -2.51110935, -2.51163483, -2.51193738, -2.51147318, -2.51185989, -2.51179004, -2.5097003, -2.50838351, -2.51024866, -2.51133251
1532.3, -2.50478578, -2.50429893, -2.50327134, -2.50270677, -2.50299239, -2.5028615, -2.5045383, -2.50446272, -2.50461626, -2.50452399
1532.3999999999999, -2.49397421, -2.49388933, -2.49263978, -2.4933033, -2.49158168, -2.49135876, -2.49155164, -2.49266267, -2.49316359, -2.49338841
1532.5, -2.47885108, -2.47706032, -2.47768283, -2.47902846, -2.47931957, -2.47936702, -2.47946596, -2.47950387, -2.4795115, -2.47951341
1532.6, -2.47461104, -2.47479415, -2.47459316, -2.47475576, -2.47477913, -2.47414899, -2.47435665, -2.47482467, -2.47517776, -2.47465611
1532.7, -2.47443175, -2.47610807, -2.47497082, -2.47583699, -2.47642279, -2.47620726, -2.4764142, -2.47618389, -2.47579956, -2.47629166
1532.8, -2.48913908, -2.48863912, -2.48817587, -2.48705363, -2.48716831, -2.48668242, -2.4880302, -2.48823786, -2.48800826, -2.48795366
1532.8999999999999, -2.4990356, -2.49880505, -2.49885845, -2.49908233, -2.49922299, -2.49794126, -2.49787068, -2.49923825, -2.49871159, -2.49872017
1533.0, -2.50461745, -2.50386667, -2.50422931, -2.50457025, -2.5037663, -2.50368714, -2.50335646, -2.50334835, -2.50344825, -2.50312471
1533.1, -2.5000875, -2.499578, -2.49938536, -2.49960899, -2.50008011, -2.49963164, -2.5002799, -2.49970126, -2.50005674, -2.49982452
1533.2, -2.48838496, -2.488693, -2.48910141, -2.48906946, -2.48919463, -2.48726153, -2.48676038, -2.488276, -2.48740721, -2.48816061
1533.3, -2.47682214, -2.47694492, -2.47713017, -2.47626948, -2.47601461, -2.4756074, -2.47550058, -2.47586203, -2.47589207, -2.47693777
1533.3999999999999, -2.46558785, -2.46488237, -2.4647851, -2.46507454, -2.46552658, -2.46525097, -2.46561098, -2.46483731, -2.46513605, -2.46540451
1533.5, -2.4599359, -2.46018124, -2.46071005, -2.46030426, -2.46058011, -2.46028876, -2.46052575, -2.45980549, -2.4600966, -2.45992064
1533.6, -2.46939206, -2.46999049, -2.46971369, -2.46939945, -2.46916151, -2.46756577, -2.46761084, -2.46929097, -2.47005224, -2.46964645
1533.7, -2.47856712, -2.47868252, -2.47858238, -2.47859049, -2.47865176, -2.47892809, -2.47889018, -2.47902036, -2.47889018, -2.47826743
1533.8, -2.48312449, -2.48310351, -2.48291874, -2.48385763, -2.48394275, -2.48417306, -2.48323393, -2.4841578, -2.48445153, -2.48442698
1533.8999999999999, -2.48258686, -2.48183417, -2.4817791, -2.48321056, -2.482795, -2.48207235, -2.48244905, -2.482795, -2.48280358, -2.48298717
1534.0, -2.47798967, -2.47840524, -2.47885156, -2.47895861, -2.47939777, -2.47945786, -2.47934294, -2.47871351, -2.47815919, -2.4785738
1534.1, -2.47173953, -2.47138643, -2.47092652, -2.47144008, -2.47104788, -2.47073436, -2.47098708, -2.47156239, -2.47098708, -2.47112656
1534.2, -2.46354389, -2.46355724, -2.4636817, -2.46367311, -2.4634738, -2.4637413, -2.463552, -2.46363521, -2.46366596, -2.46417832
1534.3, -2.46094656, -2.45987487, -2.45887375, -2.45894098, -2.45932221, -2.46006584, -2.46057868, -2.46065664, -2.46102285, -2.45918632
1534.3999999999999, -2.46075606, -2.46147466, -2.46139884, -2.46168232, -2.46201205, -2.46059418, -2.46126842, -2.46175098, -2.46207261, -2.46234798
1534.5, -2.46937585, -2.46946073, -2.47024417, -2.47025132, -2.46921468, -2.46840191, -2.46840906, -2.46950722, -2.46927643, -2.4694066
1534.6, -2.47422576, -2.47437286, -2.47359705, -2.4738338, -2.47423387, -2.47441745, -2.47530818, -2.47488594, -2.47425628, -2.47278976
1534.7, -2.46811867, -2.46860147, -2.4683404, -2.46745014, -2.46753597, -2.46796513, -2.46722007, -2.46849537, -2.4684248, -2.46810174
1534.8, -2.46339798, -2.46314502, -2.46329832, -2.46375775, -2.46352077, -2.46317744, -2.46320677, -2.4644537, -2.46391129, -2.46312976
1534.8999999999999, -2.46024227, -2.45989013, -2.4593699, -2.4597609, -2.45983696, -2.45963693, -2.45956898, -2.4593997, -2.46034265, -2.45995808
1535.0, -2.45377898, -2.45586634, -2.45576763, -2.45588183, -2.45619607, -2.45592809, -2.45597267, -2.45591259, -2.45587444, -2.45546889
1535.1, -2.45682931, -2.45710588, -2.45706034, -2.45697546, -2.45707464, -2.45685339, -2.45538497, -2.4560194, -2.45731187, -2.45743442
1535.2, -2.46005893, -2.46005797, -2.4592545, -2.46064782, -2.46077204, -2.4610548, -2.45928597, -2.45910931, -2.45963025, -2.45949936
1535.3, -2.46843982, -2.46804094, -2.46808696, -2.46805668, -2.46841002, -2.46838689, -2.46761227, -2.46853948, -2.46827126, -2.46839523
1535.3999999999999, -2.47470164, -2.47398758, -2.47422481, -2.47444844, -2.47433972, -2.47459364, -2.47490191, -2.47411847, -2.47471118, -2.47457218
1535.5, -2.46778035, -2.4683466, -2.46819448, -2.46867013, -2.46791911, -2.46830916, -2.46826363, -2.46836352, -2.46857738, -2.46900129
1535.6, -2.45504236, -2.45559144, -2.45558381, -2.45512557, -2.45539331, -2.45568299, -2.45572138, -2.45613456, -2.45609689, -2.45595121
1535.7, -2.44299364, -2.44296384, -2.44329929, -2.44256759, -2.44275045, -2.44310045, -2.44355893, -2.44289565, -2.44233871, -2.44195008
1535.8, -2.43788195, -2.4375, -2.43821645, -2.43801093, -2.4378674, -2.43764663, -2.43767548, -2.43833971, -2.43810344, -2.43804979
1535.8999999999999, -2.43815708, -2.43798733, -2.43809462, -2.43823171, -2.43807912, -2.4377296, -2.43719649, -2.43696213, -2.43652654, -2.43609858
1536.0, -2.445122, -2.44528937, -2.4453733, -2.44484019, -2.4453795, -2.44559383, -2.44525242, -2.44463277, -2.44573379, -2.44548774
1536.1, -2.45550895, -2.4556675, -2.45524025, -2.45461297, -2.45577502, -2.45610452, -2.45547605, -2.45574403, -2.45597363, -2.45479584
1536.2, -2.45941663, -2.45930791, -2.45868802, -2.45837498, -2.45881987, -2.45875835, -2.45900249, -2.45930076, -2.45950747, -2.45933104
1536.3, -2.45945406, -2.45998216, -2.46013451, -2.45975161, -2.46015763, -2.46047306, -2.45984459, -2.45942998, -2.45960665, -2.46007395
1536.3999999999999, -2.44909, -2.4489305, -2.44872379, -2.44967103, -2.44967079, -2.44904423, -2.44869375, -2.44945574, -2.44992924, -2.44972348
1536.5, -2.43149805, -2.43207598, -2.43218184, -2.43194032, -2.43240261, -2.43151236, -2.43160343, -2.43252611, -2.43308735, -2.43232703
1536.6, -2.42031813, -2.41976476, -2.41937113, -2.42024183, -2.41998458, -2.41959786, -2.42010665, -2.41984892, -2.4194994, -2.41978812
1536.7, -2.40711093, -2.40853262, -2.40925884, -2.40902519, -2.4090023, -2.40920639, -2.40893412, -2.40794992, -2.40790534, -2.4089036
1536.8, -2.4164443, -2.41636038, -2.41650558, -2.41689181, -2.41658974, -2.41649818, -2.41683841, -2.41685581, -2.41648269, -2.41636181
1536.8999999999999, -2.42559218, -2.42554665, -2.42513037, -2.4257226, -2.4250381, -2.42550993, -2.42597294, -2.42554045, -2.42531204, -2.42528105
1537.0, -2.43437982, -2.43365049, -2.43409824, -2.43467689, -2.43412876, -2.43447185, -2.43458605, -2.43448687, -2.43492007, -2.43422127
