wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1551.0, -47.704422, -47.7062988, -47.7063255, -47.7088814, -47.7100296, -47.7104225, -47.7123032, -47.7141037, -47.7148094, -47.7160912
1551.01, -47.7264557, -47.7263489, -47.7266388, -47.7274742, -47.7286568, -47.7318039, -47.7314606, -47.7311478, -47.7318039, -47.733429
1551.02, -47.7360268, -47.7377319, -47.7374191, -47.739521, -47.7400475, -47.7398643, -47.7419395, -47.7416801, -47.7416267, -47.7428093
1551.03, -47.7416534, -47.743309, -47.7445717, -47.7447815, -47.7463074, -47.7459908, -47.7456779, -47.7465706, -47.7474403, -47.7490196
1551.04, -47.7437286, -47.7427025, -47.7437553, -47.7435455, -47.7448082, -47.7460709, -47.7450447, -47.7452011, -47.7450447, -47.7464905
1551.05, -47.7433853, -47.7428894, -47.7445183, -47.7443352, -47.7438622, -47.7457542, -47.7449646, -47.7457581, -47.7461777, -47.7453079
1551.06, -47.7484131, -47.7496262, -47.7482567, -47.7486, -47.7488098, -47.7490196, -47.7483902, -47.7496796, -47.7497063, -47.7505989
1551.07, -47.7465973, -47.7462044, -47.7446785, -47.7468071, -47.7476501, -47.7471237, -47.7478867, -47.7490997, -47.7469139, -47.7473869
1551.08, -47.7479401, -47.747364, -47.7462807, -47.7456779, -47.746521, -47.7470741, -47.7465706, -47.7463341, -47.7456779, -47.7474403
1551.09, -47.7444153, -47.7459679, -47.7472038, -47.7467003, -47.7450981, -47.7467041, -47.7458878, -47.747097, -47.7471237, -47.7470207
1551.1, -47.744072, -47.7430191, -47.7408371, -47.7421532, -47.743309, -47.7422829, -47.7425194, -47.7444649, -47.7432289, -47.7429161
1551.11, -47.7413635, -47.7422829, -47.7419662, -47.741703, -47.743782, -47.7427826, -47.7444649, -47.7437019, -47.7442818, -47.7432022
1551.12, -47.7410469, -47.7422295, -47.7437325, -47.7427559, -47.7427559, -47.741993, -47.7419662, -47.7430458, -47.7427559, -47.7432556
1551.1299999999999, -47.7453346, -47.7436256, -47.7440186, -47.7427559, -47.7434654, -47.7442551, -47.7444153, -47.7446518, -47.7427292, -47.743309
1551.1399999999999, -47.7420731, -47.74189, -47.7415466, -47.742363, -47.7429924, -47.742939, -47.7413368, -47.7419662, -47.7410202, -47.7424927
1551.1499999999999, -47.7408104, -47.7425461, -47.7416534, -47.7424927, -47.7420998, -47.7411537, -47.7423897, -47.7424126, -47.7425194, -47.7425461
1551.1599999999999, -47.7497559, -47.7481766, -47.7463341, -47.745018, -47.7460976, -47.7459908, -47.7450447, -47.7467842, -47.7458878, -47.746151
1551.1699999999998, -47.7533951, -47.7538414, -47.7533417, -47.7524452, -47.7526283, -47.7513657, -47.753212, -47.7529182, -47.7522354, -47.7520752
1551.1799999999998, -47.7551613, -47.7559547, -47.7568779, -47.7554512, -47.7567978, -47.7576447, -47.7582245, -47.7584076, -47.7551613, -47.7572212
1551.1899999999998, -47.7577477, -47.7566414, -47.7582779, -47.7584343, -47.7589645, -47.7581444, -47.7583542, -47.7588844, -47.7583809, -47.7588043
1551.1999999999998, -47.7631607, -47.7609711, -47.7618942, -47.7609978, -47.7621841, -47.7615242, -47.7616539, -47.7595139, -47.7607574, -47.7611008
1551.2099999999998, -47.7689018, -47.7692184, -47.7684517, -47.7694054, -47.7680016, -47.7658844, -47.7658844, -47.7660446, -47.7677917, -47.7678947
1551.2199999999998, -47.7724991, -47.7723961, -47.7734795, -47.7748032, -47.77425, -47.7759438, -47.7759476, -47.7742233, -47.7748604, -47.7752838
1551.2299999999998, -47.7833977, -47.7817535, -47.7817268, -47.7793922, -47.7832108, -47.7819138, -47.7820702, -47.7811966, -47.7811699, -47.7810898
1551.2399999999998, -47.7872238, -47.7876472, -47.7870369, -47.7866135, -47.7879143, -47.7886047, -47.789669, -47.7881813, -47.7890587, -47.7871971
1551.2499999999998, -47.7921143, -47.7919846, -47.7906265, -47.7906799, -47.7911034, -47.7906799, -47.7900925, -47.7903061, -47.7878342, -47.7883377
1551.2599999999998, -47.7994385, -47.7983971, -47.7973595, -47.7992516, -47.8001289, -47.7988243, -47.798584, -47.7979736, -47.8006897, -47.7992516
1551.2699999999998, -47.8088799, -47.8074913, -47.8091469, -47.8111, -47.8111, -47.8092003, -47.8098183, -47.8084259, -47.8088531, -47.8105392
1551.2799999999997, -47.8139038, -47.8149452, -47.8148956, -47.8157768, -47.8153496, -47.816391, -47.8150826, -47.8163109, -47.816124, -47.8168983
1551.2899999999997, -47.8199234, -47.8225479, -47.8213425, -47.8218002, -47.8224411, -47.8245583, -47.8250389, -47.8234863, -47.8241577, -47.8244247
