wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1550.5, -19.5429974, -19.5419846, -19.5419865, -19.5431118, -19.543375, -19.5425453, -19.5423813, -19.5427303, -19.5422878, -19.5439262
1550.51, -19.519556, -19.5197086, -19.5207729, -19.5199738, -19.5207043, -19.5214901, -19.5193729, -19.5171642, -19.5193062, -19.5216637
1550.52, -19.5062504, -19.5061531, -19.5074749, -19.5077438, -19.5074921, -19.5074482, -19.5070515, -19.5073032, -19.5079098, -19.508625
1550.53, -19.5104694, -19.5112534, -19.5114441, -19.5110283, -19.5112514, -19.5116558, -19.5102921, -19.5097561, -19.5097313, -19.5105286
1550.54, -19.532938, -19.529705, -19.5321655, -19.5312691, -19.4905319, -19.5135498, -19.5099239, -19.5260391, -19.532011, -19.5317574
1550.55, -19.5708027, -19.5711765, -19.5705833, -19.5653515, -19.5644798, -19.5706425, -19.5717545, -19.5723095, -19.5712585, -19.5695992
1550.56, -19.612112, -19.6124535, -19.6098232, -19.6114597, -19.6114178, -19.6110668, -19.6100254, -19.6105404, -19.6109066, -19.6101723
1550.57, -19.6613274, -19.6594734, -19.6587906, -19.6558132, -19.6574306, -19.657568, -19.6605396, -19.66152, -19.6608047, -19.6612701
1550.58, -19.7155647, -19.7155838, -19.7166138, -19.7174606, -19.7170315, -19.7171135, -19.7175999, -19.7174892, -19.7177391, -19.7176208
1550.59, -19.7585373, -19.758276, -19.7583923, -19.7575531, -19.7558708, -19.7581024, -19.7588673, -19.7596493, -19.7594128, -19.7591934
1550.6, -19.7869911, -19.7881622, -19.7883625, -19.7884579, -19.7890949, -19.7880421, -19.7884331, -19.7885494, -19.7879047, -19.7884007
1550.61, -19.7954903, -19.796999, -19.7976112, -19.7977409, -19.7971191, -19.7976208, -19.7975101, -19.7969437, -19.7969284, -19.7973194
1550.62, -19.7810001, -19.781229, -19.7815552, -19.7814159, -19.7809486, -19.7800655, -19.7784386, -19.7778587, -19.7773895, -19.7791615
1550.6299999999999, -19.7515182, -19.7514839, -19.7501736, -19.7515335, -19.7533646, -19.7538681, -19.753315, -19.7532692, -19.7506065, -19.7523003
1550.6399999999999, -19.7089119, -19.7085629, -19.7082024, -19.7090416, -19.7093372, -19.7087288, -19.7083416, -19.7082787, -19.7087116, -19.7084389
1550.6499999999999, -19.6557083, -19.6553955, -19.655777, -19.6562843, -19.6567192, -19.6555424, -19.6561909, -19.6559429, -19.6561718, -19.655735
1550.6599999999999, -19.6182518, -19.6175728, -19.6179905, -19.6168842, -19.6157742, -19.6152573, -19.6152496, -19.6130409, -19.6111965, -19.613903
1550.6699999999998, -19.6110878, -19.6114388, -19.6105614, -19.6112347, -19.6110744, -19.6116734, -19.6115112, -19.6126499, -19.6118793, -19.6116447
1550.6799999999998, -19.6632919, -19.6637077, -19.6639118, -19.6632233, -19.6634369, -19.6629581, -19.6625977, -19.66325, -19.6624165, -19.6616001
1550.6899999999998, -19.7676868, -19.7685223, -19.7681942, -19.7673512, -19.7673626, -19.768158, -19.7689514, -19.7688007, -19.768568, -19.7689552
1550.6999999999998, -19.9548206, -19.9551411, -19.9556503, -19.9541664, -19.9527988, -19.9523239, -19.9546394, -19.9554863, -19.9534206, -19.9533024
1550.7099999999998, -20.1567039, -20.1569309, -20.1572647, -20.1587772, -20.1601639, -20.15938, -20.1578312, -20.1556911, -20.1549435, -20.154953
1550.7199999999998, -20.307785, -20.3074017, -20.3053627, -20.3076038, -20.3058567, -20.3067474, -20.3078003, -20.3079319, -20.3092613, -20.3093376
1550.7299999999998, -20.3171082, -20.3173485, -20.3176022, -20.3204727, -20.3216896, -20.3213234, -20.3220291, -20.3224144, -20.3214512, -20.3211689
1550.7399999999998, -20.3149662, -20.3151093, -20.3147182, -20.3146858, -20.3146248, -20.315136, -20.3159733, -20.3157139, -20.3153629, -20.2909145
1550.7499999999998, -20.3600941, -20.3602314, -20.3594112, -20.3595047, -20.3582211, -20.3591595, -20.3597221, -20.3598232, -20.3557453, -20.3572769
1550.7599999999998, -20.3232899, -20.3239651, -20.3247147, -20.3259716, -20.32584, -20.3258591, -20.3261642, -20.3272324, -20.3269539, -20.3261604
1550.7699999999998, -20.1582394, -20.1574383, -20.1569271, -20.157423, -20.1560059, -20.1565628, -20.1572742, -20.1562653, -20.1575432, -20.1574574
1550.7799999999997, -19.9106884, -19.9112396, -19.9122581, -19.9122601, -19.9121895, -19.910471, -19.910984, -19.9120979, -19.9128113, -19.9132156
1550.7899999999997, -19.7193241, -19.7182884, -19.7182388, -19.7182484, -19.7179699, -19.7169189, -19.7166862, -19.7166882, -19.7180099, -19.7185135
1550.7999999999997, -19.5812302, -19.5869389, -19.5546494, -19.5299854, -19.5640812, -19.5741272, -19.5879993, -19.5990219, -19.5977497, -19.5960598
1550.8099999999997, -19.5506287, -19.5518951, -19.5518055, -19.55196, -19.5517654, -19.5508213, -19.5508881, -19.5504456, -19.5505219, -19.5524502
1550.8199999999997, -19.5718117, -19.5735493, -19.5738621, -19.5739098, -19.5741196, -19.5730476, -19.5719681, -19.5731258, -19.5743427, -19.5749073
1550.8299999999997, -19.6212692, -19.6199474, -19.6215038, -19.6204071, -19.6197701, -19.6213303, -19.6221199, -19.6221848, -19.6235008, -19.6223869
1550.8399999999997, -19.674015, -19.6733856, -19.6751709, -19.6758671, -19.6746883, -19.674942, -19.6704445, -19.6723309, -19.6745586, -19.6727886
1550.8499999999997, -19.7119598, -19.7134953, -19.7120571, -19.7129555, -19.7056141, -19.7034836, -19.7080212, -19.7109165, -19.7092247, -19.7102489
1550.8599999999997, -19.7249794, -19.7257996, -19.724966, -19.7249374, -19.7247524, -19.7246246, -19.7247009, -19.7243862, -19.7247429, -19.724947
1550.8699999999997, -19.7125721, -19.7091961, -19.7125359, -19.7137127, -19.7123146, -19.7125854, -19.712347, -19.712471, -19.7135696, -19.7134838
1550.8799999999997, -19.6851292, -19.6850109, -19.6840229, -19.6838703, -19.683548, -19.6831665, -19.6832943, -19.6836414, -19.6844387, -19.6843281
1550.8899999999996, -19.6337929, -19.6186466, -19.5701828, -19.5884037, -19.5854988, -19.5805416, -19.6099892, -19.6248512, -19.6347542, -19.6338425
1550.8999999999996, -19.5826035, -19.5822201, -19.5814056, -19.5812263, -19.5801487, -19.5808563, -19.5814323, -19.5815506, -19.5817986, -19.5822258
1550.9099999999996, -19.5128899, -19.5134239, -19.5141964, -19.5138607, -19.5133266, -19.5143642, -19.5143967, -19.5141029, -19.5129356, -19.5132561
1550.9199999999996, -19.45998, -19.4604301, -19.4597111, -19.4601097, -19.4604893, -19.4609928, -19.460413, -19.4599171, -19.4598484, -19.4586716
1550.9299999999996, -19.4026279, -19.4033108, -19.4027138, -19.4023285, -19.4021378, -19.4020386, -19.4027767, -19.4030609, -19.402319, -19.4030209
1550.9399999999996, -19.3703861, -19.3714371, -19.3717117, -19.3718567, -19.3721123, -19.3733177, -19.3726082, -19.3728752, -19.3733864, -19.3735638
1550.9499999999996, -19.3654556, -19.363903, -19.3645973, -19.3651028, -19.3644791, -19.3655186, -19.3661366, -19.3673668, -19.3671474, -19.3675289
1550.9599999999996, -19.3764744, -19.3763866, -19.3753967, -19.3730793, -19.3735256, -19.3755283, -19.375248, -19.3752308, -19.3751984, -19.3755779
1550.9699999999996, -19.4023628, -19.4023685, -19.4036465, -19.4048996, -19.4070969, -19.4074059, -19.4069328, -19.4056625, -19.4081364, -19.4073601
1550.9799999999996, -19.4429474, -19.4421215, -19.4424496, -19.4423923, -19.442234, -19.4408474, -19.4417191, -19.4412708, -19.4414787, -19.4419498
1550.9899999999996, -19.4811687, -19.4823322, -19.4830627, -19.4827232, -19.4837742, -19.4839516, -19.4835777, -19.4832058, -19.4784107, -19.4730034
1550.9999999999995, -19.519413, -19.5191689, -19.5194817, -19.5184078, -19.520792, -19.5197754, -19.5195866, -19.5203419, -19.5195065, -19.5212593
1551.0099999999995, -19.5592785, -19.559866, -19.5598221, -19.5601196, -19.5606232, -19.5601387, -19.5604153, -19.5609589, -19.56036, -19.5592709
1551.0199999999995, -19.5877132, -19.5884247, -19.5883579, -19.5879002, -19.5884933, -19.5873318, -19.5878925, -19.5879707, -19.5875473, -19.587904
1551.0299999999995, -19.6074848, -19.607748, -19.6086273, -19.608139, -19.6079617, -19.6079521, -19.6078568, -19.6084862, -19.6075211, -19.6080379
1551.0399999999995, -19.6135044, -19.6147766, -19.6150379, -19.6150227, -19.6124706, -19.6141567, -19.6145935, -19.6141148, -19.6136913, -19.6136398
1551.0499999999995, -19.6089725, -19.608593, -19.6083946, -19.607954, -19.6075153, -19.6065826, -19.6063728, -19.6050987, -19.6039753, -19.603529
1551.0599999999995, -19.5879574, -19.5869465, -19.5872574, -19.5884171, -19.5900307, -19.5897331, -19.5896873, -19.5894413, -19.5895901, -19.5852299
1551.0699999999995, -19.5678158, -19.5687504, -19.5683441, -19.5681973, -19.5682487, -19.5671597, -19.567421, -19.5685902, -19.5689373, -19.5693531
1551.0799999999995, -19.5370293, -19.5362091, -19.5357647, -19.5351734, -19.5334568, -19.5348701, -19.5359364, -19.5370903, -19.5375099, -19.5374603
1551.0899999999995, -19.5009041, -19.5005894, -19.5019493, -19.501852, -19.5013103, -19.4990959, -19.5001583, -19.5012321, -19.4986095, -19.4961567
1551.0999999999995, -19.419363, -19.3902588, -19.3954887, -19.3862972, -19.4116669, -19.4478378, -19.4572887, -19.4531479, -19.4516506, -19.4456367
1551.1099999999994, -19.4235058, -19.4228554, -19.4214668, -19.4239368, -19.4230843, -19.4227638, -19.4227562, -19.4258423, -19.4255333, -19.4256516
