wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1549.395, -49.7709541, -49.7750282, -49.7743568, -49.7755737, -49.7754898, -49.7771263, -49.7781754, -49.7786827, -49.7790184, -49.7812462
1549.405, -49.777462, -49.7777138, -49.7782211, -49.7778015, -49.7768326, -49.7775879, -49.7780533, -49.7798996, -49.7780533, -49.7824249
1549.415, -49.768898, -49.769989, -49.7700768, -49.7712898, -49.7696953, -49.7699051, -49.7703667, -49.7704506, -49.772213, -49.7710381
1549.425, -49.7623215, -49.7608566, -49.7614822, -49.7615242, -49.7600594, -49.7631607, -49.7620697, -49.7616501, -49.7636604, -49.7614822
1549.435, -49.7503624, -49.7490234, -49.7506523, -49.7496071, -49.7494431, -49.7517395, -49.7532043, -49.7505684, -49.7516556, -49.752491
1549.445, -49.7418518, -49.7410583, -49.7428093, -49.7410583, -49.7421837, -49.7430611, -49.7411423, -49.741642, -49.745018, -49.7429771
1549.455, -49.7325668, -49.7325249, -49.7339401, -49.7318573, -49.7337303, -49.7332306, -49.7312355, -49.7309036, -49.7319832, -49.7326508
1549.465, -49.7248802, -49.7223892, -49.7235947, -49.7245064, -49.7241325, -49.7243004, -49.7233047, -49.7240906, -49.7235527, -49.7212296
1549.475, -49.7166252, -49.7183266, -49.7179108, -49.7200661, -49.7177887, -49.7198601, -49.7202339, -49.7169991, -49.7196121, -49.7185745
1549.485, -49.709301, -49.7103348, -49.7102089, -49.7088432, -49.7078094, -49.7115326, -49.7115326, -49.7114105, -49.7107468, -49.7119904
1549.495, -49.6994667, -49.7005386, -49.7004166, -49.6993408, -49.7016945, -49.6993408, -49.6984329, -49.6998787, -49.7013245, -49.7027283
1549.5049999999999, -49.6873093, -49.6885834, -49.6872635, -49.6896133, -49.6875954, -49.6892395, -49.6898613, -49.6888695, -49.6894073, -49.6894913
1549.5149999999999, -49.6787529, -49.6805611, -49.6805191, -49.680439, -49.6797829, -49.680603, -49.6805191, -49.6803169, -49.681015, -49.6822891
1549.5249999999999, -49.6707916, -49.668869, -49.6702614, -49.6700554, -49.6721077, -49.6678429, -49.6700974, -49.6700554, -49.6714897, -49.6715698
1549.5349999999999, -49.66399, -49.664566, -49.6634598, -49.664444, -49.6645241, -49.6654663, -49.6639519, -49.6651382, -49.6647301, -49.6633759
1549.5449999999998, -49.6556091, -49.6542587, -49.6559372, -49.6568756, -49.6559753, -49.6563034, -49.6561813, -49.6545868, -49.6556511, -49.6563034
1549.5549999999998, -49.6455269, -49.6451225, -49.6454086, -49.6452827, -49.6445084, -49.6449585, -49.646347, -49.6472816, -49.6474457, -49.645977
1549.5649999999998, -49.6316109, -49.6337242, -49.6336021, -49.6340904, -49.6327896, -49.6344528, -49.6337242, -49.6351891, -49.6347809, -49.6343727
1549.5749999999998, -49.6246681, -49.6234512, -49.6269417, -49.6231651, -49.6243439, -49.6253967, -49.6249924, -49.625885, -49.626049, -49.6252747
1549.5849999999998, -49.6115417, -49.6140938, -49.6099663, -49.6123924, -49.6119041, -49.6136856, -49.6140518, -49.6140518, -49.615387, -49.6119881
1549.5949999999998, -49.6018448, -49.5996284, -49.6024132, -49.5993042, -49.6009178, -49.6024933, -49.6027336, -49.6025734, -49.6023712, -49.6006775
1549.6049999999998, -49.585495, -49.5875473, -49.5873833, -49.5866203, -49.5878258, -49.5864983, -49.5884285, -49.5883904, -49.5902786, -49.5876236
1549.6149999999998, -49.5676422, -49.5688019, -49.5676804, -49.5683212, -49.5685616, -49.5692825, -49.5697632, -49.5693207, -49.5698853, -49.5702057
1549.6249999999998, -49.5547676, -49.5544891, -49.5539284, -49.5560036, -49.5584412, -49.5560455, -49.5555649, -49.5549698, -49.5568047, -49.5564842
1549.6349999999998, -49.5372772, -49.5371208, -49.538353, -49.5371208, -49.5389481, -49.5380363, -49.5389099, -49.5392303, -49.5391884, -49.5389519
1549.6449999999998, -49.5191078, -49.5187111, -49.5194244, -49.5204926, -49.5197029, -49.5208511, -49.5188713, -49.5191078, -49.5199013, -49.5225563
1549.6549999999997, -49.4966393, -49.4938011, -49.493763, -49.4948273, -49.4958878, -49.4954948, -49.4950218, -49.4945488, -49.4968338, -49.4964027
