wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1520.0, -19.5011501, -19.4978104, -19.4952736, -19.4932213, -19.48909, -19.4880142, -19.488018, -19.4825802, -19.4790134, -19.4771366
1520.1, -19.6010399, -19.6005135, -19.5993919, -19.6011963, -19.6049442, -19.605566, -19.6037521, -19.6073914, -19.6097946, -19.6115265
1520.1999999999998, -19.9318104, -19.9318047, -19.9308167, -19.9299698, -19.9280205, -19.9270229, -19.9250221, -19.9234715, -19.9221973, -19.9200821
1520.2999999999997, -19.3172531, -19.3180237, -19.3169727, -19.3161144, -19.3197021, -19.323494, -19.3179893, -19.3162975, -19.3167477, -19.3167057
1520.3999999999996, -20.1746578, -20.1743946, -20.1752529, -20.1779633, -20.1781425, -20.179245, -20.1778316, -20.1782722, -20.1784172, -20.178709
1520.4999999999995, -19.6508827, -19.6531277, -19.6551228, -19.6506882, -19.6486263, -19.6486511, -19.6686821, -19.6510677, -19.6491871, -19.6521187
1520.5999999999995, -24.4838104, -24.4747372, -24.5207996, -24.5190411, -24.5039501, -24.5024471, -24.5037289, -24.5115032, -24.5114498, -24.5220203
1520.6999999999994, -19.920723, -19.9189739, -19.9176197, -19.9162178, -19.9157124, -19.9148579, -19.9150066, -19.9146824, -19.9188232, -19.9191494
1520.7999999999993, -20.1531334, -20.1558952, -20.1564007, -20.1575737, -20.1566143, -20.1599827, -20.1595116, -20.1577816, -20.1601906, -20.1590405
1520.8999999999992, -19.7365875, -19.7358036, -19.7355042, -19.7353439, -19.7348843, -19.7357693, -19.7348499, -19.7355251, -19.7382355, -19.7403336
1520.999999999999, -20.4267406, -20.4254055, -20.4268017, -20.4279728, -20.4282284, -20.4281178, -20.4257183, -20.4264755, -20.4286327, -20.4282475
1521.099999999999, -19.5827904, -19.583601, -19.5832462, -19.581995, -19.5834579, -19.5816307, -19.5823593, -19.5828876, -19.5840149, -19.5853367
1521.199999999999, -20.5112305, -20.5117588, -20.5120773, -20.5119267, -20.5130482, -20.5132637, -20.5141487, -20.5152969, -20.515749, -20.5157852
1521.2999999999988, -19.8782177, -19.8790646, -19.8807697, -19.8803463, -19.8819008, -19.8819809, -19.8820744, -19.8791924, -19.8807621, -19.8802948
1521.3999999999987, -20.7365475, -20.7345314, -20.7354317, -20.7355404, -20.7350597, -20.7340698, -20.7332649, -20.7352505, -20.7387676, -20.7396336
1521.4999999999986, -19.7217064, -19.7230225, -19.7212543, -19.7201538, -19.7197437, -19.7200565, -19.7201653, -19.7209873, -19.7199306, -19.7188587
1521.5999999999985, -20.5973396, -20.5968437, -20.5946198, -20.595993, -20.5946598, -20.598753, -20.5970097, -20.5971184, -20.5965633, -20.5985165
1521.6999999999985, -19.7315922, -19.7321167, -19.7329502, -19.7333469, -19.7340469, -19.7331619, -19.7325916, -19.732111, -19.7322273, -19.7341595
1521.7999999999984, -20.5945797, -20.5979862, -20.6007023, -20.5975094, -20.5956573, -20.5947857, -20.5954208, -20.594614, -20.594511, -20.5956059
