wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1559.1, -23.5677929, -23.5700474, -23.568985, -23.5671272, -23.5646172, -23.5641041, -23.5659885, -23.5647278, -23.5645676, -23.56847
1559.1015, -23.5943127, -23.5926552, -23.5884342, -23.5894814, -23.58988, -23.5941811, -23.5934544, -23.5935822, -23.5932045, -23.5942535
1559.103, -23.621809, -23.6250973, -23.622673, -23.6115971, -23.6091099, -23.6125298, -23.6128902, -23.6208954, -23.6197777, -23.618
1559.1045000000001, -23.6439419, -23.639658, -23.6370239, -23.6387787, -23.639698, -23.6414146, -23.6421928, -23.6401024, -23.64081, -23.6375599
1559.1060000000002, -23.6757202, -23.6757984, -23.6775932, -23.6868687, -23.6872864, -23.684206, -23.6825638, -23.6838074, -23.6847572, -23.6863995
1559.1075000000003, -23.7038918, -23.7042618, -23.7069683, -23.7147751, -23.7143745, -23.7094193, -23.7107925, -23.7145996, -23.7199554, -23.7285576
1559.1090000000004, -23.7716084, -23.7734909, -23.7765751, -23.774086, -23.7742214, -23.7734909, -23.7729797, -23.7723675, -23.7687988, -23.7731266
1559.1105000000005, -23.8286457, -23.8298607, -23.8285828, -23.8343639, -23.8355484, -23.8318539, -23.8340054, -23.8405647, -23.8403645, -23.8382626
1559.1120000000005, -23.9526424, -23.9581451, -23.9727345, -23.9631081, -23.9672775, -23.9709625, -23.9710827, -23.9629459, -23.9607201, -23.9593945
1559.1135000000006, -24.0779934, -24.0791245, -24.0887318, -24.0923977, -24.0882225, -24.0940762, -24.1026669, -24.099865, -24.093853, -24.0922241
1559.1150000000007, -24.2704391, -24.2861423, -24.2864895, -24.2826824, -24.2894573, -24.2814198, -24.2743244, -24.2798538, -24.2852097, -24.282671
1559.1165000000008, -24.4641113, -24.4715481, -24.4862976, -24.492115, -24.4952068, -24.4847107, -24.4744263, -24.4722672, -24.4780102, -24.4847946
1559.1180000000008, -24.7855606, -24.7903309, -24.7938976, -24.8085175, -24.8307209, -24.8466988, -24.8427868, -24.8289185, -24.8312302, -24.8226795
1559.119500000001, -25.0964317, -25.1251259, -25.1403065, -25.146265, -25.1289921, -25.1149368, -25.1140804, -25.1360435, -25.138401, -25.1421661
1559.121000000001, -25.618391, -25.6254387, -25.6191006, -25.6172523, -25.6502724, -25.6809483, -25.6992168, -25.6841183, -25.6928215, -25.679924
1559.122500000001, -26.3973083, -26.3831425, -26.4644527, -26.4795628, -26.4485493, -26.4306679, -26.3888264, -26.3795662, -26.4076576, -26.4221344
1559.1240000000012, -27.530817, -27.5948086, -27.5625629, -27.5706406, -27.5348625, -27.586422, -27.5802822, -27.604538, -27.6234627, -27.6393204
1559.1255000000012, -29.153883, -29.1485214, -29.1668968, -29.2406769, -29.311161, -29.3278961, -29.2996826, -29.3429108, -29.3713779, -29.3440781
1559.1270000000013, -30.9797802, -31.0248852, -31.1302738, -31.2058258, -31.3219433, -31.3835716, -31.4556446, -31.4811592, -31.5471687, -31.5649261
1559.1285000000014, -33.4475136, -33.5456467, -33.6947823, -33.8816414, -33.9169159, -34.0355988, -34.0655708, -34.0945435, -34.143589, -34.1581268
1559.1300000000015, -35.2571144, -35.2751427, -35.2783928, -35.2651863, -35.2634697, -35.2506905, -35.241375, -35.2516518, -35.2609329, -35.2831688
1559.1315000000016, -34.6735191, -34.6655159, -34.6274185, -34.5739784, -34.561985, -34.5703888, -34.600502, -34.5843468, -34.5991287, -34.4600983
1559.1330000000016, -32.1765594, -32.2858658, -32.2233238, -32.1286812, -32.0904617, -32.1162758, -32.0823555, -32.1108246, -32.1581459, -32.1446381
1559.1345000000017, -29.8182011, -29.7453995, -29.8941803, -29.9860096, -29.8787632, -29.8615131, -29.8649845, -29.8789272, -29.9126492, -29.9259052
1559.1360000000018, -28.4836483, -28.4666519, -28.5029392, -28.4515533, -28.4371967, -28.394352, -28.3618221, -28.2939091, -28.2780533, -28.2502842
1559.1375000000019, -27.3226032, -27.2511787, -27.224226, -27.1906776, -27.2124863, -27.1801987, -27.1525383, -27.1770611, -27.1580143, -27.144825
1559.139000000002, -26.2321491, -26.2355652, -26.2599277, -26.2448082, -26.233427, -26.2247944, -26.2264824, -26.2178783, -26.2185688, -26.2106228
1559.140500000002, -25.7763844, -25.7367611, -25.7091331, -25.6790028, -25.6598988, -25.6782227, -25.6813469, -25.6901646, -25.6719303, -25.6881294
1559.142000000002, -25.2757492, -25.2614059, -25.2454739, -25.2493629, -25.2497978, -25.2358036, -25.223217, -25.2215996, -25.219059, -25.2284775
1559.1435000000022, -24.9270611, -24.9145832, -24.9113445, -24.9066677, -24.8916702, -24.8776131, -24.8937054, -24.9036503, -24.9034328, -24.9146652
1559.1450000000023, -24.7391739, -24.7337646, -24.7359447, -24.7271061, -24.7331982, -24.733675, -24.736908, -24.7401829, -24.7446175, -24.7339363
1559.1465000000023, -24.5087738, -24.4976444, -24.484808, -24.4894886, -24.4902229, -24.4929199, -24.4918537, -24.4929676, -24.4913425, -24.4929085
1559.1480000000024, -24.2915611, -24.2853737, -24.2925186, -24.2953644, -24.2950134, -24.2883511, -24.2773151, -24.2734566, -24.2785702, -24.2769947
1559.1495000000025, -24.1250629, -24.1222572, -24.117136, -24.116291, -24.1201591, -24.1146107, -24.110075, -24.1083813, -24.1040058, -24.0998096
1559.1510000000026, -23.9659252, -23.9715366, -23.9682598, -23.9636917, -23.9627457, -23.958786, -23.958395, -23.9646225, -23.9704208, -23.9729958
1559.1525000000026, -23.8564587, -23.8491306, -23.8480778, -23.8452892, -23.8459377, -23.8477554, -23.8496246, -23.8521481, -23.8504181, -23.8445683
