wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1515.0, -17.470295, -17.4730644, -17.4720154, -17.4735661, -17.4745197, -17.4757748, -17.476244, -17.4738464, -17.4772778, -17.4766731
1515.1, -18.2145309, -18.213316, -18.2111492, -18.2093735, -18.2102566, -18.2123013, -18.2131233, -18.2140427, -18.2142258, -18.2144108
1515.1999999999998, -17.4651546, -17.4652081, -17.465332, -17.464098, -17.4641132, -17.4639397, -17.4634285, -17.4644146, -17.4643631, -17.4631557
1515.2999999999997, -18.1403217, -18.1395607, -18.1425934, -18.1435471, -18.1440582, -18.1462727, -18.145628, -18.1459618, -18.1449471, -18.1448917
1515.3999999999996, -17.4807415, -17.4830418, -17.4840183, -17.4832497, -17.4831409, -17.4818916, -17.4807224, -17.4806824, -17.479826, -17.4789257
1515.4999999999995, -17.8728752, -17.8724289, -17.8730545, -17.8727303, -17.8713322, -17.8715458, -17.8725605, -17.8695374, -17.870676, -17.8713188
1515.5999999999995, -17.6872177, -17.6861744, -17.6860905, -17.685442, -17.6855507, -17.6843033, -17.6854019, -17.6854515, -17.6862717, -17.6841698
1515.6999999999994, -18.0381317, -18.0375729, -18.0376759, -18.0381947, -18.0410595, -18.0410042, -18.0386486, -18.0381031, -18.0379887, -18.0407295
1515.7999999999993, -17.3852825, -17.385107, -17.3849449, -17.3848553, -17.3854198, -17.384491, -17.3836727, -17.3820286, -17.3825245, -17.3821011
1515.8999999999992, -18.0996742, -18.099865, -18.1008301, -18.1011086, -18.1049366, -18.1051559, -18.1053905, -18.1022835, -18.1031494, -18.1024532
1515.999999999999, -17.4127617, -17.4134979, -17.4172764, -17.417696, -17.4181824, -17.4177971, -17.4171867, -17.415432, -17.4143391, -17.4146614
1516.099999999999, -18.0281086, -18.0282383, -18.0274239, -18.0246067, -18.0256805, -18.0264931, -18.0269775, -18.0295753, -18.02948, -18.0284882
1516.199999999999, -17.6668606, -17.6656704, -17.6664963, -17.666151, -17.664793, -17.6628284, -17.6620102, -17.6649971, -17.6641254, -17.6621513
1516.2999999999988, -17.7717915, -17.7703228, -17.7736759, -17.7721119, -17.7728062, -17.7727356, -17.7727108, -17.7741909, -17.7784481, -17.7792816
1516.3999999999987, -17.9878197, -17.9884148, -17.9879665, -17.9882259, -17.9876251, -17.986948, -17.9868126, -17.9858723, -17.9872532, -17.986948
1516.4999999999986, -17.6340046, -17.635479, -17.635973, -17.6340046, -17.6346855, -17.6351566, -17.6349716, -17.636673, -17.6377392, -17.6368732
1516.5999999999985, -17.7973366, -17.7971935, -17.7972679, -17.7964706, -17.7966881, -17.7960167, -17.7960224, -17.795887, -17.7961998, -17.7949734
