wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1515.0, -17.3519382, -17.3524952, -17.3523617, -17.3519211, -17.3515911, -17.3497238, -17.3507996, -17.3509598, -17.3520622, -17.3520145
1515.05, -17.4028492, -17.4030399, -17.4036713, -17.4046879, -17.4038563, -17.404623, -17.4047432, -17.4042568, -17.4043255, -17.4038582
1515.1, -17.9742298, -17.9747295, -17.9750271, -17.9756279, -17.9756603, -17.9756737, -17.9718513, -17.9697113, -17.9751091, -17.9755306
1515.1499999999999, -17.8401546, -17.8410549, -17.8403263, -17.8376617, -17.8394222, -17.8404942, -17.8414192, -17.8424301, -17.8424587, -17.8421726
1515.1999999999998, -17.2745781, -17.2740116, -17.2742252, -17.2747097, -17.2760162, -17.2755661, -17.2758617, -17.2757988, -17.2760067, -17.2761059
1515.2499999999998, -17.6036911, -17.6044331, -17.603981, -17.6035385, -17.6039963, -17.6038361, -17.604166, -17.6035557, -17.6043625, -17.6033649
1515.2999999999997, -18.0222034, -18.0224476, -18.0233574, -18.0232983, -18.0234489, -18.023695, -18.0223904, -18.0236263, -18.0233555, -18.0231972
1515.3499999999997, -17.6352253, -17.6360512, -17.6350193, -17.6347485, -17.6342373, -17.6346645, -17.6362476, -17.6364613, -17.6364822, -17.6372929
1515.3999999999996, -17.2979794, -17.2965488, -17.2955894, -17.2955704, -17.2961998, -17.2947159, -17.2954102, -17.2955933, -17.295639, -17.296772
1515.4499999999996, -18.2625618, -18.2597542, -18.271553, -18.2749081, -18.2717285, -18.2705765, -18.2748566, -18.2744408, -18.275362, -18.2779598
1515.4999999999995, -18.4093208, -18.4127293, -18.415844, -18.4215431, -18.4224167, -18.4288025, -18.4336548, -18.4341736, -18.4402084, -18.4412231
1515.5499999999995, -17.6781464, -17.682024, -17.6842461, -17.6881924, -17.6920738, -17.6941566, -17.6991692, -17.70294, -17.705246, -17.7085953
1515.5999999999995, -17.6176224, -17.6229839, -17.6216221, -17.6272049, -17.6309338, -17.6311016, -17.6348457, -17.6405773, -17.6448708, -17.6413441
1515.6499999999994, -18.0559235, -18.0558262, -18.0565052, -18.0564747, -18.0550098, -18.0547981, -18.0546875, -18.0553493, -18.0556202, -18.0554962
1515.6999999999994, -17.7077217, -17.7050228, -17.7030983, -17.7047462, -17.7053642, -17.7034607, -17.7043762, -17.7035294, -17.7059669, -17.7042904
1515.7499999999993, -17.2822132, -17.2822132, -17.2825546, -17.2830276, -17.2832642, -17.2836609, -17.2829723, -17.2836761, -17.2842751, -17.2850285
1515.7999999999993, -17.3480854, -17.3484211, -17.3465843, -17.3453445, -17.3444767, -17.3428822, -17.3430347, -17.3424625, -17.3424168, -17.342741
1515.8499999999992, -17.8208809, -17.8208847, -17.8199158, -17.8188133, -17.8184795, -17.8177528, -17.8167381, -17.8156719, -17.8158092, -17.8160114
1515.8999999999992, -18.0090561, -18.0083694, -18.0090866, -18.0103378, -18.0097733, -18.0093002, -18.0093689, -18.0091553, -18.0088692, -18.0088005
1515.9499999999991, -17.5199642, -17.5205364, -17.519949, -17.5198956, -17.5199184, -17.5191956, -17.5193672, -17.5190067, -17.5198689, -17.5196381
1515.999999999999, -17.220068, -17.2205429, -17.2205105, -17.2205448, -17.2209873, -17.2212753, -17.2207184, -17.2177982, -17.2167473, -17.2169132
1516.049999999999, -17.7827473, -17.7825489, -17.7817688, -17.7851124, -17.7855854, -17.7855129, -17.7853622, -17.7865047, -17.7845726, -17.7862282
1516.099999999999, -17.9831696, -17.9825954, -17.981863, -17.9816132, -17.9789619, -17.9782677, -17.9808693, -17.9819393, -17.9824429, -17.982233
1516.149999999999, -17.3713875, -17.3707218, -17.371254, -17.3716316, -17.3713284, -17.3716335, -17.3705063, -17.3704472, -17.3728065, -17.3735237
1516.199999999999, -17.4068317, -17.4075985, -17.4077587, -17.4073677, -17.407486, -17.4077702, -17.4073238, -17.4074688, -17.4079151, -17.4075737
1516.2499999999989, -17.9979439, -17.9964466, -17.9982834, -17.9984055, -17.9987087, -17.9976139, -17.9967518, -17.9951649, -17.9963989, -17.9960365
1516.2999999999988, -17.8300018, -17.8301353, -17.8300209, -17.8303108, -17.8308296, -17.8311119, -17.8314114, -17.8320618, -17.8316765, -17.8326149
1516.3499999999988, -17.5227127, -17.5249634, -17.5274429, -17.5259247, -17.5337963, -17.5324421, -17.5361443, -17.5402508, -17.5389118, -17.543129
1516.3999999999987, -17.9761944, -17.9766712, -17.9779663, -17.9844093, -17.9853611, -17.9846878, -17.9890366, -17.9861698, -17.9893303, -17.9931526
1516.4499999999987, -18.1644554, -18.1679897, -18.170723, -18.1708717, -18.1726818, -18.1772442, -18.1747589, -18.1768093, -18.181572, -18.1823387
1516.4999999999986, -17.3999863, -17.3985672, -17.3984509, -17.3992462, -17.3982658, -17.3987064, -17.398737, -17.3987045, -17.3995399, -17.3992329
1516.5499999999986, -17.3134956, -17.3153305, -17.3169117, -17.3141384, -17.3119907, -17.3120594, -17.3113976, -17.3121109, -17.3117313, -17.3109665
1516.5999999999985, -17.8140297, -17.8142109, -17.811779, -17.8113289, -17.8080578, -17.8067875, -17.8067989, -17.8059273, -17.8051281, -17.8056793
1516.6499999999985, -18.0331097, -18.0328789, -18.0327244, -18.0326996, -18.0322247, -18.032835, -18.0325603, -18.0329418, -18.0354156, -18.0350571
1516.6999999999985, -17.7790413, -17.7783546, -17.7789631, -17.7786636, -17.7795753, -17.7789516, -17.779995, -17.7804699, -17.7813606, -17.7805405
1516.7499999999984, -17.2458344, -17.2457142, -17.2465038, -17.2464199, -17.2463093, -17.2454834, -17.2457142, -17.2463055, -17.2470684, -17.2478886
1516.7999999999984, -17.3720074, -17.3738766, -17.3747387, -17.3755016, -17.3759975, -17.3755264, -17.3761749, -17.3759193, -17.3763618, -17.3763561
1516.8499999999983, -17.9238033, -17.9235439, -17.9220314, -17.9212875, -17.9223595, -17.9222107, -17.9238167, -17.9241562, -17.9242783, -17.9253578
1516.8999999999983, -17.7052898, -17.7044182, -17.7034321, -17.7035313, -17.7038174, -17.7031059, -17.7028675, -17.7026768, -17.7023106, -17.7014923
1516.9499999999982, -17.1338482, -17.1344757, -17.1346588, -17.1341953, -17.1353683, -17.1356506, -17.134037, -17.1345425, -17.1341953, -17.1342182
1516.9999999999982, -17.5430183, -17.5443554, -17.5449524, -17.5445786, -17.5442657, -17.543911, -17.5442047, -17.5450516, -17.543932, -17.5442448
1517.0499999999981, -17.973526, -17.9731503, -17.9736156, -17.9737587, -17.9727421, -17.972744, -17.9728699, -17.9730816, -17.9747009, -17.9743805
1517.099999999998, -17.5214062, -17.5211563, -17.521389, -17.5214863, -17.5217533, -17.522274, -17.522295, -17.5216503, -17.5221291, -17.5225544
1517.149999999998, -17.1889534, -17.1892891, -17.1888466, -17.1881275, -17.187849, -17.1876183, -17.1883526, -17.1883888, -17.1885872, -17.1884937
1517.199999999998, -18.0491295, -18.0511742, -18.0559826, -18.054266, -18.0577984, -18.0569363, -18.0606785, -18.0648098, -18.0608444, -18.0622501
1517.249999999998, -18.1404934, -18.1423016, -18.1441154, -18.1462841, -18.1487312, -18.1499157, -18.1498432, -18.1502876, -18.1536732, -18.1566887
1517.299999999998, -17.2850552, -17.2867489, -17.2896881, -17.2892857, -17.2879696, -17.2912979, -17.2898445, -17.2945824, -17.2979221, -17.2985973
1517.3499999999979, -17.3963642, -17.3970146, -17.3974648, -17.3983517, -17.3982582, -17.3983173, -17.3989487, -17.3978424, -17.3986588, -17.3986588
1517.3999999999978, -17.9246006, -17.9255695, -17.9263515, -17.9260731, -17.9249001, -17.9257374, -17.9258595, -17.9256611, -17.9256153, -17.925909
1517.4499999999978, -17.7127132, -17.7125397, -17.7127743, -17.7139435, -17.7154064, -17.7184753, -17.7203331, -17.7218552, -17.7213154, -17.7220898
1517.4999999999977, -17.2568874, -17.2565975, -17.2572575, -17.2576694, -17.2580509, -17.2589283, -17.2585335, -17.2589283, -17.2596874, -17.2614212
1517.5499999999977, -17.1463375, -17.1455193, -17.146101, -17.1456051, -17.1448154, -17.1450577, -17.1444073, -17.1433659, -17.1427174, -17.14114
1517.5999999999976, -17.6361065, -17.6357803, -17.6364193, -17.6376305, -17.6378479, -17.6380615, -17.6374111, -17.6377907, -17.6367626, -17.6365891
1517.6499999999976, -17.9138451, -17.9136677, -17.9148064, -17.9148712, -17.9147358, -17.9139957, -17.9129238, -17.9135647, -17.9133816, -17.9138374
1517.6999999999975, -17.3996181, -17.3984241, -17.3973103, -17.3965282, -17.397068, -17.3980694, -17.3989983, -17.3978977, -17.3969212, -17.3961067
1517.7499999999975, -17.0800972, -17.0804577, -17.0818558, -17.0828056, -17.0830383, -17.0835171, -17.0828953, -17.0835629, -17.0831337, -17.0838642
1517.7999999999975, -17.6936378, -17.6931801, -17.6930504, -17.6934376, -17.6932964, -17.6931839, -17.6934834, -17.6946049, -17.6942768, -17.6937904
1517.8499999999974, -17.8043137, -17.8058815, -17.806551, -17.8061485, -17.8064003, -17.8061295, -17.8054657, -17.8061676, -17.8054256, -17.8047047
1517.8999999999974, -17.118763, -17.1180134, -17.1174889, -17.1167011, -17.1168785, -17.1171131, -17.1174507, -17.1182499, -17.118454, -17.1191444
1517.9499999999973, -17.2271347, -17.2267132, -17.2271786, -17.2270737, -17.2270451, -17.2271118, -17.2273388, -17.228241, -17.2285461, -17.2280331
1517.9999999999973, -17.8183079, -17.8189888, -17.8186951, -17.8187199, -17.8185501, -17.8185425, -17.8203011, -17.8184013, -17.8169308, -17.8160839
1518.0499999999972, -17.5747337, -17.5737171, -17.5735474, -17.5733585, -17.5727444, -17.5728378, -17.5737915, -17.5740852, -17.5743141, -17.5760937
1518.0999999999972, -16.9664497, -16.9661751, -16.9662266, -16.9677639, -16.9680595, -16.9680462, -16.9678173, -16.9671364, -16.9671497, -16.9670029
1518.1499999999971, -17.4790115, -17.4803448, -17.4819927, -17.4831924, -17.4841595, -17.4855747, -17.4852924, -17.4862118, -17.4864235, -17.4867058
1518.199999999997, -17.7383537, -17.7387161, -17.7389717, -17.7383556, -17.7368603, -17.7355042, -17.7354126, -17.7352753, -17.7356644, -17.7372169
1518.249999999997, -17.2390709, -17.2389088, -17.2394047, -17.2393074, -17.2396507, -17.2406025, -17.2418709, -17.2433701, -17.2428761, -17.2433739
1518.299999999997, -16.9240074, -16.923254, -16.9247494, -16.9240208, -16.9237022, -16.9232521, -16.9226856, -16.922287, -16.9225407, -16.9231625
1518.349999999997, -17.2470684, -17.2466011, -17.2486954, -17.2491837, -17.2477226, -17.2442856, -17.24403, -17.2440166, -17.2445202, -17.2445526
1518.399999999997, -17.7528152, -17.7535381, -17.7545109, -17.753685, -17.7531376, -17.7541714, -17.7547512, -17.755291, -17.754921, -17.7547016
