wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1540.0, -19.973402, -19.9733334, -19.9728851, -19.9730854, -19.9741096, -19.9757156, -19.9752388, -19.9737129, -19.9722214, -19.9710979
1540.002, -19.9718666, -19.97188, -19.9707394, -19.9690342, -19.9675694, -19.9672832, -19.9672279, -19.9707432, -19.9717846, -19.972023
1540.004, -19.9525356, -19.9524765, -19.9534302, -19.9545231, -19.952322, -19.9518337, -19.9507751, -19.9486942, -19.9496994, -19.9516125
1540.0059999999999, -19.9363613, -19.9383831, -19.9371719, -19.9378529, -19.9401169, -19.9413662, -19.9404259, -19.9364624, -19.936121, -19.9374657
1540.0079999999998, -19.9067726, -19.9048634, -19.9046421, -19.9036598, -19.9045372, -19.905035, -19.9046631, -19.9049053, -19.9063168, -19.9061756
1540.0099999999998, -19.9070377, -19.9151573, -19.9100361, -19.8980179, -19.9022217, -19.8934784, -19.8935204, -19.8914509, -19.8888321, -19.8876495
1540.0119999999997, -19.861351, -19.8594074, -19.8608227, -19.859314, -19.8614998, -19.8590889, -19.861824, -19.8596935, -19.8611431, -19.8609085
1540.0139999999997, -19.8381901, -19.8383999, -19.8381042, -19.8381176, -19.8385544, -19.8363667, -19.8348885, -19.8349476, -19.835907, -19.8349018
1540.0159999999996, -19.802578, -19.8008003, -19.7984867, -19.7991867, -19.8004456, -19.7996693, -19.7992249, -19.8002834, -19.8018684, -19.8054886
1540.0179999999996, -19.7827015, -19.7803574, -19.7821541, -19.7814674, -19.780899, -19.7829838, -19.783287, -19.7805099, -19.7798538, -19.7784882
1540.0199999999995, -19.7483234, -19.7461891, -19.7459717, -19.7458878, -19.7449665, -19.7452946, -19.7434921, -19.7432079, -19.7452583, -19.7453785
1540.0219999999995, -19.7139969, -19.7157402, -19.715683, -19.7150497, -19.7226696, -19.7171307, -19.7197628, -19.7170391, -19.7166767, -19.7167759
1540.0239999999994, -19.6855621, -19.6796532, -19.6804943, -19.6816616, -19.6767139, -19.6779556, -19.6758728, -19.6783199, -19.6761303, -19.6775494
1540.0259999999994, -19.6419277, -19.6391659, -19.6412525, -19.6422215, -19.6455555, -19.6452389, -19.6450462, -19.6427917, -19.6421719, -19.6431465
1540.0279999999993, -19.6158009, -19.6206436, -19.6289177, -19.6401501, -19.640913, -19.6199436, -19.6100826, -19.609108, -19.6103458, -19.6112309
1540.0299999999993, -19.5721569, -19.5731773, -19.5711823, -19.5715485, -19.5738392, -19.5780048, -19.5752945, -19.5769615, -19.5820465, -19.5867367
1540.0319999999992, -19.5400028, -19.537569, -19.5362072, -19.5284004, -19.5316486, -19.5341911, -19.5335846, -19.5325489, -19.5310955, -19.528101
1540.0339999999992, -19.4972553, -19.5007687, -19.5020256, -19.5004025, -19.5017891, -19.5045128, -19.503252, -19.5002003, -19.4985065, -19.4989872
1540.0359999999991, -19.4718075, -19.4733276, -19.4728985, -19.4728107, -19.472393, -19.4727287, -19.4745903, -19.4740543, -19.4744301, -19.4776115
1540.037999999999, -19.4365921, -19.4373646, -19.4320126, -19.4308739, -19.4344578, -19.4279461, -19.4226341, -19.4266949, -19.4294147, -19.427887
1540.039999999999, -19.3932915, -19.3968792, -19.3972168, -19.396368, -19.3936195, -19.3912811, -19.3958149, -19.4309025, -19.4581509, -19.4467945
1540.041999999999, -19.3603973, -19.3590889, -19.361948, -19.3669796, -19.3687439, -19.3609657, -19.3612213, -19.3652306, -19.3644485, -19.3654575
1540.043999999999, -19.3167057, -19.3174973, -19.3164463, -19.3234577, -19.3196259, -19.3206673, -19.3206615, -19.3204575, -19.318018, -19.3227215
1540.045999999999, -19.2988472, -19.298233, -19.2958565, -19.2920418, -19.2922859, -19.2936459, -19.2938614, -19.2940426, -19.2961121, -19.2951908
1540.0479999999989, -19.2550755, -19.2544155, -19.2551365, -19.2539482, -19.2527504, -19.2518997, -19.253191, -19.2522564, -19.2525539, -19.2523975
1540.0499999999988, -19.237793, -19.2362347, -19.2309361, -19.2343597, -19.2323589, -19.2285385, -19.2258167, -19.2261181, -19.2268944, -19.2304211
1540.0519999999988, -19.1899586, -19.1891327, -19.1887741, -19.1876163, -19.1890392, -19.1896439, -19.1906204, -19.1925507, -19.19063, -19.1887798
1540.0539999999987, -19.1635628, -19.1643791, -19.166523, -19.1661167, -19.1640205, -19.1664009, -19.1653023, -19.1653519, -19.1645775, -19.1648178
1540.0559999999987, -19.1386662, -19.1335526, -19.1345825, -19.1272125, -19.1292477, -19.1302128, -19.1254311, -19.125412, -19.1268597, -19.1270447
1540.0579999999986, -19.0913582, -19.0926418, -19.0940266, -19.0950661, -19.0926914, -19.0924931, -19.0935364, -19.0942383, -19.0961094, -19.0935516
1540.0599999999986, -19.0619431, -19.0627956, -19.060997, -19.0609093, -19.0622215, -19.0603924, -19.0605259, -19.0632286, -19.0614338, -19.0613976
1540.0619999999985, -19.0323238, -19.0295696, -19.0300694, -19.0312042, -19.0291805, -19.0306282, -19.0342579, -19.0336647, -19.0338631, -19.0321674
1540.0639999999985, -19.0012703, -19.0026627, -19.004055, -19.0226898, -19.0059795, -19.0055389, -19.0024471, -19.0041485, -19.0048885, -19.004425
1540.0659999999984, -18.9844131, -18.9856682, -18.9876537, -18.987648, -18.987257, -18.9898796, -18.9921951, -18.9919109, -18.9885254, -18.9901352
1540.0679999999984, -18.9646168, -18.9666405, -18.9646893, -18.965765, -18.9647655, -18.9676571, -18.9644794, -18.9650879, -18.9626598, -18.9629974
1540.0699999999983, -18.94207, -18.9426708, -18.9437313, -18.9444885, -18.9436989, -18.9460926, -18.9549751, -18.9833698, -19.0093613, -19.0178986
1540.0719999999983, -18.934906, -18.9352932, -18.9374504, -18.9349632, -18.9306335, -18.9282532, -18.9300117, -18.9289303, -18.9327908, -18.9305687
1540.0739999999983, -18.9011307, -18.8986244, -18.8973598, -18.8993359, -18.90135, -18.9018002, -18.9041157, -18.9005585, -18.8997021, -18.9039268
1540.0759999999982, -18.8884773, -18.8868427, -18.8858681, -18.8891411, -18.8866405, -18.886425, -18.8862038, -18.8872929, -18.8859177, -18.8880444
1540.0779999999982, -18.8699665, -18.8699474, -18.8698292, -18.8692684, -18.8700695, -18.870245, -18.8707085, -18.870594, -18.8713837, -18.8707981
1540.079999999998, -18.8526726, -18.8511753, -18.8513527, -18.8506718, -18.8505211, -18.8508892, -18.8527222, -18.8538723, -18.8539391, -18.852541
1540.081999999998, -18.8410816, -18.8420525, -18.8428955, -18.8403263, -18.8368435, -18.8386326, -18.8366108, -18.8350086, -18.8356247, -18.8374367
1540.083999999998, -18.830183, -18.8275146, -18.8236713, -18.8260231, -18.8291359, -18.8269997, -18.8277683, -18.8285828, -18.8270187, -18.8261452
1540.085999999998, -18.8247852, -18.8275585, -18.8220882, -18.8207378, -18.8227978, -18.8253994, -18.8243675, -18.8262253, -18.8299561, -18.8300953
1540.087999999998, -18.8271637, -18.8263893, -18.8290539, -18.8257771, -18.8276901, -18.8272457, -18.8277359, -18.8278389, -18.8298683, -18.8313713
1540.0899999999979, -18.8248329, -18.8254528, -18.8288994, -18.8305359, -18.8292408, -18.8259296, -18.823967, -18.8239479, -18.825695, -18.8273182
1540.0919999999978, -18.825943, -18.8267746, -18.8269997, -18.8276768, -18.8282566, -18.8261681, -18.826704, -18.8255234, -18.8258133, -18.8255196
1540.0939999999978, -18.8191853, -18.8203888, -18.8221493, -18.8231182, -18.8249321, -18.8244553, -18.8208179, -18.8211746, -18.8232574, -18.8231754
1540.0959999999977, -18.8332558, -18.8344841, -18.8350868, -18.8338089, -18.8347073, -18.8393517, -18.8394699, -18.8364639, -18.8353958, -18.8338337
1540.0979999999977, -18.8390141, -18.8358002, -18.8379498, -18.8361931, -18.8339787, -18.8318901, -18.8332901, -18.8332119, -18.8328514, -18.8354855
1540.0999999999976, -18.8385792, -18.8376427, -18.8393745, -18.8403645, -18.8403397, -18.8390942, -18.8382969, -18.8390083, -18.835289, -18.8403091
1540.1019999999976, -18.847147, -18.847086, -18.8479347, -18.8458748, -18.850256, -18.8475037, -18.8467445, -18.8466148, -18.8473396, -18.8483868
1540.1039999999975, -18.9836559, -19.0273438, -19.033411, -19.026062, -19.0216045, -18.9732323, -18.9557056, -18.9423676, -18.9216499, -18.9285755
1540.1059999999975, -18.9216824, -18.9063072, -18.8990135, -18.8946648, -18.8993797, -18.9057522, -18.8945332, -18.8911152, -18.8857346, -18.8858871
1540.1079999999974, -18.8739052, -18.8755951, -18.876709, -18.8790379, -18.8862705, -18.886282, -18.8825893, -18.8838749, -18.8802967, -18.8805714
1540.1099999999974, -18.8920593, -18.8928986, -18.8899155, -18.8899345, -18.8912449, -18.8922482, -18.8916512, -18.8901997, -18.8901329, -18.891798
1540.1119999999974, -18.9083614, -18.9064236, -18.9074326, -18.9067936, -18.9063301, -18.9066849, -18.9065933, -18.9060459, -18.9067593, -18.9048615
1540.1139999999973, -18.9235439, -18.9245415, -18.922617, -18.9237022, -18.9228306, -18.9246578, -18.9242649, -18.9234447, -18.9272385, -18.9243851
1540.1159999999973, -18.9376354, -18.9391766, -18.9396229, -18.9395046, -18.9386444, -18.9393845, -18.939642, -18.938797, -18.9370079, -18.9387493
1540.1179999999972, -18.9576626, -18.9563904, -18.9569988, -18.9579639, -18.9585438, -18.9594479, -18.9665527, -18.9651566, -18.9621391, -18.9610405
1540.1199999999972, -18.9722099, -18.9726048, -18.9753361, -18.9731216, -18.974617, -18.9770966, -18.9760342, -18.984663, -19.003212, -19.0309296
1540.1219999999971, -19.0106106, -19.0070248, -19.0062847, -19.0105381, -19.0286407, -19.057642, -19.0657024, -19.0608597, -19.0431938, -19.0316277
1540.123999999997, -19.0172539, -19.0147896, -19.0163364, -19.0175018, -19.0184631, -19.0212078, -19.0212688, -19.0232277, -19.0213795, -19.0197964
1540.125999999997, -19.0462666, -19.0471458, -19.0482578, -19.0488911, -19.0502167, -19.0505714, -19.0547276, -19.0496311, -19.0567627, -19.0537472
1540.127999999997, -19.0622787, -19.0645161, -19.0656052, -19.0661049, -19.0675583, -19.069849, -19.0695286, -19.0693417, -19.070488, -19.0695457
1540.129999999997, -19.092123, -19.0914631, -19.0898914, -19.0911808, -19.0895977, -19.0881691, -19.0893612, -19.0916214, -19.0909252, -19.0869579
1540.1319999999969, -19.1058006, -19.1063404, -19.108572, -19.1098461, -19.111311, -19.1105499, -19.1083908, -19.113718, -19.1133823, -19.1131668
1540.1339999999968, -19.1376209, -19.1406784, -19.1483593, -19.1523647, -19.1489754, -19.1515045, -19.1506863, -19.152277, -19.1512375, -19.147953
1540.1359999999968, -19.1854954, -19.178669, -19.176939, -19.1778603, -19.1751022, -19.1759815, -19.1761475, -19.1775093, -19.1755428, -19.170887
1540.1379999999967, -19.2043743, -19.2051964, -19.2033062, -19.2036476, -19.2055244, -19.208643, -19.2131824, -19.213747, -19.21315, -19.2110023
1540.1399999999967, -19.221262, -19.2229195, -19.2232304, -19.2218933, -19.2198505, -19.2218018, -19.2187004, -19.2192707, -19.2207336, -19.2201767
1540.1419999999966, -19.2543201, -19.2711353, -19.2685909, -19.2759705, -19.2753677, -19.2660103, -19.2707863, -19.2625465, -19.2635555, -19.2615337
1540.1439999999966, -19.2789268, -19.2791882, -19.2861919, -19.2828598, -19.2788486, -19.2811241, -19.2836914, -19.2809982, -19.2810364, -19.2816639
1540.1459999999965, -19.3212986, -19.3144703, -19.319313, -19.3130283, -19.312233, -19.3130913, -19.3134956, -19.3097668, -19.3115349, -19.3117638
1540.1479999999965, -19.3361568, -19.3378887, -19.3375835, -19.3384724, -19.3389759, -19.3403206, -19.3385334, -19.3390656, -19.3398972, -19.3400612
1540.1499999999965, -19.3773041, -19.3775978, -19.3797035, -19.3801537, -19.3805943, -19.381012, -19.380455, -19.3815575, -19.3834248, -19.3813648
1540.1519999999964, -19.4039497, -19.4014511, -19.4005356, -19.401865, -19.40448, -19.4055023, -19.4054947, -19.4050903, -19.4048615, -19.405529
1540.1539999999964, -19.4360104, -19.4358902, -19.4390163, -19.4398766, -19.4385185, -19.4405632, -19.4406738, -19.4413738, -19.4431534, -19.442894
1540.1559999999963, -19.464777, -19.4617882, -19.4641247, -19.4613171, -19.4691696, -19.4723492, -19.4646587, -19.4628334, -19.461071, -19.4594154
1540.1579999999963, -19.4909325, -19.4921284, -19.4900093, -19.4892178, -19.4919777, -19.4928093, -19.4962215, -19.499403, -19.5024357, -19.4976559
1540.1599999999962, -19.5259438, -19.5255642, -19.5234222, -19.5203743, -19.5208035, -19.5202103, -19.5236778, -19.5231915, -19.5240135, -19.5215855
1540.1619999999962, -19.5587654, -19.5607891, -19.5619049, -19.5630589, -19.5609322, -19.5629711, -19.568224, -19.565506, -19.5652351, -19.5666199
1540.1639999999961, -19.5756187, -19.5763531, -19.5800724, -19.5819798, -19.5856724, -19.5853519, -19.5846615, -19.5828438, -19.582428, -19.5871964
1540.165999999996, -19.6140099, -19.6161366, -19.6166439, -19.6167755, -19.6147499, -19.6140423, -19.6151657, -19.6153221, -19.6147633, -19.613924
1540.167999999996, -19.6343632, -19.6344814, -19.6337337, -19.63587, -19.6362343, -19.6327877, -19.6325474, -19.6349545, -19.635416, -19.63517
1540.169999999996, -19.6616077, -19.6786842, -19.6703644, -19.6711617, -19.6693764, -19.6684837, -19.6624107, -19.6645203, -19.6638775, -19.6581211
1540.171999999996, -19.708149, -19.7045612, -19.693449, -19.6946373, -19.6876144, -19.6918087, -19.6917076, -19.6870861, -19.691061, -19.6892242
1540.1739999999959, -19.7040501, -19.7130795, -19.7064304, -19.7038593, -19.7018414, -19.7026939, -19.7052536, -19.7056141, -19.7078743, -19.7056217
1540.1759999999958, -19.7321091, -19.7317467, -19.7293797, -19.7312584, -19.7298183, -19.7284927, -19.729166, -19.7313271, -19.7333717, -19.7329044
1540.1779999999958, -19.754837, -19.7556877, -19.7576828, -19.7563648, -19.7585239, -19.7603779, -19.7587757, -19.7576523, -19.7578602, -19.7575798
1540.1799999999957, -19.8009052, -19.8142147, -19.8305264, -19.8428307, -19.831028, -19.8230801, -19.8104897, -19.8096275, -19.8076859, -19.8054199
1540.1819999999957, -19.8101139, -19.8154793, -19.8168259, -19.8182755, -19.8250732, -19.833231, -19.824419, -19.8181839, -19.8191376, -19.8189545
1540.1839999999956, -19.8358936, -19.8365307, -19.83848, -19.8398571, -19.8405991, -19.8414631, -19.8404579, -19.8386459, -19.8405228, -19.8398514
1540.1859999999956, -19.8517838, -19.8532486, -19.8491173, -19.8497066, -19.85042, -19.8512669, -19.8521118, -19.8496838, -19.8502464, -19.8511677
1540.1879999999956, -19.8698254, -19.870615, -19.8706741, -19.8687077, -19.8687801, -19.8681984, -19.8691902, -19.8696175, -19.8684654, -19.8685417
1540.1899999999955, -19.8834705, -19.8819408, -19.8828163, -19.8854046, -19.8882198, -19.8849277, -19.8863106, -19.8875141, -19.8857784, -19.8844357
1540.1919999999955, -19.9036541, -19.9026089, -19.9022465, -19.9037075, -19.9046497, -19.9058418, -19.9045048, -19.9051075, -19.9049969, -19.9050426
1540.1939999999954, -19.912878, -19.911253, -19.9122601, -19.9136295, -19.9130268, -19.9140053, -19.9144516, -19.9142246, -19.9143085, -19.9160042
1540.1959999999954, -19.9241104, -19.9270248, -19.928936, -19.9284496, -19.928793, -19.9287548, -19.9297695, -19.9292183, -19.9293423, -19.929739
1540.1979999999953, -19.9325905, -19.9354935, -19.9351978, -19.9352112, -19.9352226, -19.9342937, -19.9359512, -19.9340477, -19.9345951, -19.934824
1540.1999999999953, -19.9425068, -19.9446316, -19.9413605, -19.9408531, -19.9435329, -19.9430504, -19.945322, -19.9642563, -19.9691811, -19.9657154
1540.2019999999952, -19.9560757, -19.9522324, -19.9508228, -19.9512062, -19.94627, -19.9474659, -19.9512959, -19.9507847, -19.9505711, -19.9595528
1540.2039999999952, -19.9615211, -19.954834, -19.9535046, -19.956028, -19.9557247, -19.9558601, -19.9585991, -19.9571075, -19.9572334, -19.9714317
1540.2059999999951, -19.9557991, -19.9557457, -19.9592342, -19.9598675, -19.960762, -19.9594975, -19.9612694, -19.9657326, -19.959444, -19.9600525
1540.207999999995, -19.95755, -19.9566574, -19.9608898, -19.9604874, -19.9570236, -19.9607792, -19.960043, -19.9617748, -19.9640007, -19.9635983
1540.209999999995, -19.9571342, -19.9597454, -19.9609909, -19.9674397, -19.9707794, -19.9699802, -19.9672146, -19.9637489, -19.9596729, -19.95825
1540.211999999995, -19.9505863, -19.9493713, -19.9509163, -19.9499779, -19.9533215, -19.9570942, -19.9586391, -19.9583149, -19.9545403, -19.9570866
1540.213999999995, -19.947504, -19.9490967, -19.9520397, -19.9575443, -19.956749, -19.947525, -19.9458427, -19.945385, -19.9530582, -19.9646835
