wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1531.3, 7.46115828, 7.46149158, 7.46183348, 7.46226978, 7.46248722, 7.46216869, 7.46266747, 7.46276665, 7.46261168, 7.4627533
1531.3999999999999, 7.46475887, 7.46498489, 7.4649682, 7.46486044, 7.46486807, 7.46461964, 7.46501493, 7.46472025, 7.46464157, 7.46475935
1531.5, 7.43865681, 7.43855476, 7.43871212, 7.43848562, 7.43820333, 7.43843031, 7.43828917, 7.43843699, 7.4379921, 7.43778801
1531.6, 7.44807053, 7.44850922, 7.44876671, 7.44897699, 7.44901705, 7.44876766, 7.44851065, 7.4489007, 7.44925976, 7.44939899
1531.7, 7.43035889, 7.4301939, 7.43037367, 7.4302249, 7.43042803, 7.43037367, 7.4303422, 7.43009186, 7.43054485, 7.43182278
1531.8, 7.42772245, 7.42789698, 7.42968369, 7.4297781, 7.42981768, 7.42980099, 7.42987967, 7.42998075, 7.43001366, 7.42983198
1531.8999999999999, 7.42435741, 7.42447567, 7.42452383, 7.42438936, 7.42431116, 7.42423248, 7.42458582, 7.42465591, 7.42405987, 7.42418528
1532.0, 7.43201923, 7.43154907, 7.43166637, 7.43306923, 7.43312407, 7.43255186, 7.43279552, 7.43222952, 7.4319253, 7.43198681
1532.1, 7.42713547, 7.42700338, 7.42685413, 7.42658615, 7.42656422, 7.42693233, 7.42703438, 7.42698717, 7.42654657, 7.4267683
1532.2, 7.41222525, 7.41269016, 7.41250229, 7.41162825, 7.41128969, 7.41150951, 7.41140795, 7.41161203, 7.4112339, 7.41119432
1532.3, 7.41329718, 7.41306019, 7.4133749, 7.41346884, 7.41388655, 7.4139328, 7.41362762, 7.41352558, 7.41383171, 7.41423225
1532.3999999999999, 7.41821623, 7.41845274, 7.41864109, 7.41882229, 7.41953659, 7.42052794, 7.42018986, 7.42000103, 7.42065334, 7.41949034
1532.5, 7.42351007, 7.4230237, 7.42263985, 7.42216158, 7.42225456, 7.42251396, 7.42229366, 7.42198706, 7.4222393, 7.42242718
1532.6, 7.42449093, 7.42457867, 7.42415524, 7.42393351, 7.42337656, 7.42372322, 7.42321968, 7.42307949, 7.42295265, 7.42247438
1532.7, 7.43371153, 7.43388414, 7.43402433, 7.43404722, 7.43347549, 7.43343592, 7.43335772, 7.43324137, 7.43323994, 7.43343735
1532.8, 7.4202919, 7.42059755, 7.42077827, 7.42092037, 7.42099857, 7.42067671, 7.42135954, 7.42154837, 7.42205811, 7.4220109
1532.8999999999999, 7.41589975, 7.41492462, 7.41513729, 7.41539621, 7.41582108, 7.41605711, 7.41735315, 7.41786385, 7.41782379, 7.41838026
1533.0, 7.39885855, 7.3985672, 7.39812422, 7.39848709, 7.39833784, 7.39827299, 7.39839935, 7.39678144, 7.39632416, 7.39602375
1533.1, 7.39931631, 7.39946699, 7.39945793, 7.39929247, 7.39928389, 7.39939594, 7.39929295, 7.39907122, 7.39900827, 7.39906454
1533.2, 7.37984705, 7.37995625, 7.38106775, 7.38105917, 7.38086987, 7.38082123, 7.38078213, 7.38071871, 7.3807745, 7.38080597
1533.3, 7.39858246, 7.39850283, 7.39841652, 7.39877129, 7.39902449, 7.39895296, 7.39894581, 7.39959288, 7.40048456, 7.40064192
1533.3999999999999, 7.424366, 7.42581129, 7.42613935, 7.42581844, 7.4264679, 7.42650938, 7.42644548, 7.42649317, 7.42702579, 7.42668819
1533.5, 7.44587851, 7.44714308, 7.44765091, 7.44769001, 7.44762754, 7.44713449, 7.44639349, 7.44672108, 7.44655132, 7.44670582
1533.6, 7.44391012, 7.44389439, 7.44416761, 7.44389486, 7.44351292, 7.44369268, 7.44368458, 7.44337177, 7.44289303, 7.4427619
1533.7, 7.44981956, 7.44991446, 7.44977427, 7.44971848, 7.44975853, 7.44946909, 7.44947004, 7.44916439, 7.44897032, 7.44857931
1533.8, 7.43442202, 7.43423557, 7.43419552, 7.43451738, 7.43442345, 7.43412638, 7.43291998, 7.43280983, 7.43275595, 7.43278694
1533.8999999999999, 7.41781521, 7.41797352, 7.41887665, 7.41892338, 7.41922474, 7.41925383, 7.41908979, 7.41922331, 7.41915274, 7.41950703
1534.0, 7.41806078, 7.41846848, 7.41873646, 7.41772223, 7.41758156, 7.41770554, 7.41780806, 7.41805172, 7.41794252, 7.41813135
1534.1, 7.40874672, 7.40903807, 7.40928936, 7.40937662, 7.40922785, 7.4093771, 7.40950298, 7.40973139, 7.41011, 7.4106679
1534.2, 7.40703678, 7.40695047, 7.40696573, 7.40643167, 7.40662766, 7.40669775, 7.40627193, 7.40639114, 7.40616226, 7.40623331
