wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1539.0, -17.957655, -17.9611912, -17.9612904, -17.9637012, -17.9641743, -17.9639244, -17.9591465, -17.9592056, -17.9610825, -17.9607697
1539.002, -17.9853516, -17.9846096, -17.9864178, -17.9855785, -17.9889774, -17.9860077, -17.9850426, -17.9875488, -17.9887085, -17.9905338
1539.004, -18.0236664, -18.0231342, -18.0221825, -18.0262794, -18.0272884, -18.0275345, -18.0262794, -18.0218697, -18.0246792, -18.0206127
1539.0059999999999, -18.0567493, -18.0530434, -18.0553818, -18.057312, -18.0578766, -18.058075, -18.0581779, -18.0559425, -18.0565548, -18.0540543
1539.0079999999998, -18.0950947, -18.0964699, -18.0991859, -18.1001129, -18.098938, -18.1003284, -18.1020718, -18.099781, -18.0988445, -18.0973492
1539.0099999999998, -18.1322937, -18.1339703, -18.132988, -18.1246223, -18.1201763, -18.1267586, -18.1284523, -18.1268272, -18.1307297, -18.1296062
1539.0119999999997, -18.1734238, -18.1736069, -18.1733875, -18.1702347, -18.1733131, -18.1728783, -18.1744766, -18.1698895, -18.1742039, -18.1723022
1539.0139999999997, -18.2041283, -18.2025375, -18.2032871, -18.205883, -18.2063465, -18.2044678, -18.2033768, -18.203352, -18.2048397, -18.205864
1539.0159999999996, -18.2481899, -18.2484875, -18.2479458, -18.2458248, -18.2420673, -18.24823, -18.2466297, -18.2494144, -18.2509727, -18.249712
1539.0179999999996, -18.2718639, -18.2800274, -18.2822781, -18.2775459, -18.2736301, -18.2754593, -18.2775764, -18.2804298, -18.279274, -18.2785034
1539.0199999999995, -18.3169804, -18.3147278, -18.3103504, -18.3088913, -18.3147964, -18.3183155, -18.3186417, -18.3174152, -18.3173141, -18.317627
1539.0219999999995, -18.342741, -18.3431454, -18.3370762, -18.3340721, -18.3430042, -18.3338566, -18.3330002, -18.3414993, -18.3322659, -18.3202572
1539.0239999999994, -18.3768597, -18.3793221, -18.3771648, -18.3779144, -18.3789673, -18.3775883, -18.3799095, -18.3749599, -18.3724003, -18.3791027
1539.0259999999994, -18.3993015, -18.3985023, -18.398119, -18.4052811, -18.4038467, -18.40518, -18.4057293, -18.4060135, -18.4046402, -18.4058685
1539.0279999999993, -18.4331284, -18.428978, -18.4333954, -18.4340229, -18.4379463, -18.438961, -18.4374142, -18.4372501, -18.4244423, -18.4281254
1539.0299999999993, -18.4543056, -18.4520473, -18.4535046, -18.4538975, -18.4562492, -18.4544811, -18.4549999, -18.4542522, -18.4535427, -18.453434
1539.0319999999992, -18.481884, -18.4803677, -18.4836521, -18.4847927, -18.4831982, -18.4854031, -18.4852219, -18.4832535, -18.4846306, -18.4829826
1539.0339999999992, -18.4952545, -18.495245, -18.5024719, -18.5061417, -18.5067635, -18.5060558, -18.506052, -18.5034904, -18.5059872, -18.5091572
1539.0359999999991, -18.5346165, -18.5345592, -18.5334435, -18.5357628, -18.5311241, -18.534359, -18.5340652, -18.5350666, -18.5333138, -18.5345955
1539.037999999999, -18.5369358, -18.5367298, -18.5374146, -18.5406761, -18.5359821, -18.5447388, -18.5452538, -18.5428581, -18.5455151, -18.5452557
