wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1539.0, -17.4359512, -17.4335289, -17.4258442, -17.430582, -17.4336605, -17.4345284, -17.4344959, -17.4347267, -17.43577, -17.4364986
1539.02, -17.6982689, -17.6973438, -17.6994514, -17.6978741, -17.6991959, -17.698473, -17.700819, -17.6991806, -17.6989269, -17.6996765
1539.04, -17.8460026, -17.8497066, -17.8486252, -17.8404732, -17.8444309, -17.8415203, -17.8387489, -17.8384094, -17.8400021, -17.8377991
1539.06, -17.8493996, -17.8485889, -17.847065, -17.8474789, -17.8484879, -17.8518448, -17.8493958, -17.8480148, -17.8478127, -17.845787
1539.08, -17.7295151, -17.733099, -17.7351913, -17.7360439, -17.7380829, -17.7371464, -17.7346783, -17.7373352, -17.7387238, -17.7424831
1539.1, -17.5008087, -17.5020943, -17.5045033, -17.5036736, -17.501873, -17.5013065, -17.5024776, -17.5025692, -17.5033379, -17.5011845
1539.12, -17.1958904, -17.192461, -17.1917152, -17.1908455, -17.1918564, -17.1937141, -17.1921558, -17.1919098, -17.1907711, -17.1883926
1539.1399999999999, -16.9271755, -16.925066, -16.9301319, -16.9287224, -16.9252453, -16.9249954, -16.9344997, -16.9333858, -16.9264965, -16.9286079
1539.1599999999999, -16.8083973, -16.8085442, -16.8084164, -16.8103008, -16.8091793, -16.806282, -16.8064709, -16.8037453, -16.7991867, -16.8116398
1539.1799999999998, -16.890543, -16.8890533, -16.8941593, -16.8966599, -16.8946648, -16.8966904, -16.8929482, -16.8944607, -16.8945694, -16.8937435
1539.1999999999998, -17.1533527, -17.1616535, -17.1705589, -17.1645164, -17.1603832, -17.1606674, -17.1581802, -17.1597157, -17.1613083, -17.2081642
1539.2199999999998, -17.4691963, -17.4688892, -17.4657745, -17.4724045, -17.4717751, -17.4751587, -17.4735489, -17.4704666, -17.4682274, -17.4674225
1539.2399999999998, -17.7463226, -17.7502594, -17.7539749, -17.7529984, -17.7482758, -17.7491474, -17.7505932, -17.7549763, -17.7709866, -17.7747364
1539.2599999999998, -17.891674, -17.8947773, -17.8909035, -17.8898869, -17.8871632, -17.887022, -17.8859177, -17.8852119, -17.8861141, -17.8864574
1539.2799999999997, -17.8371544, -17.8386459, -17.8369255, -17.8371601, -17.8361702, -17.8395405, -17.8363686, -17.8361607, -17.8352966, -17.8355217
1539.2999999999997, -17.6185856, -17.6179581, -17.6187325, -17.6177826, -17.6162071, -17.6167889, -17.6152649, -17.6132774, -17.6129971, -17.6129684
1539.3199999999997, -17.2633858, -17.27178, -17.2961998, -17.2826023, -17.2799473, -17.2677078, -17.2587795, -17.257122, -17.2545547, -17.2587872
1539.3399999999997, -16.9344921, -16.9406586, -16.9372997, -16.9378815, -16.9340134, -16.9333305, -16.9356518, -16.9380913, -16.9341755, -16.9314957
1539.3599999999997, -16.7827492, -16.7924786, -16.782093, -16.7842312, -16.7828789, -16.7842693, -16.7868176, -16.78409, -16.7829018, -16.7852135
1539.3799999999997, -16.9067116, -16.9101658, -16.9086399, -16.913353, -16.9108486, -16.9114094, -16.9080887, -16.9077892, -16.9081364, -16.9160633
1539.3999999999996, -17.2117405, -17.2132053, -17.2161407, -17.2169876, -17.2147579, -17.2168255, -17.2200775, -17.2200298, -17.2252026, -17.2198219
1539.4199999999996, -17.5585442, -17.5592079, -17.5595722, -17.5595589, -17.5591736, -17.5605354, -17.5597248, -17.5593338, -17.5580101, -17.5581264
1539.4399999999996, -17.7723198, -17.77174, -17.7737942, -17.7746849, -17.7721767, -17.7751064, -17.7735329, -17.7738762, -17.7741032, -17.7730312
1539.4599999999996, -17.8080864, -17.8060036, -17.8056183, -17.8071079, -17.8070107, -17.8078461, -17.8073769, -17.8049126, -17.8044205, -17.8067589
1539.4799999999996, -17.6683884, -17.6475449, -17.6452045, -17.6444378, -17.6450977, -17.6531944, -17.6620998, -17.6532516, -17.6513863, -17.6540794
1539.4999999999995, -17.3313885, -17.3300858, -17.3316002, -17.378273, -17.4045296, -17.3945789, -17.3852253, -17.3604507, -17.3501987, -17.3399143
1539.5199999999995, -17.0018101, -16.9992962, -16.9983902, -16.997488, -16.9995193, -17.0001869, -16.9996471, -17.0073452, -17.0088024, -17.0010662
1539.5399999999995, -16.8226032, -16.8202477, -16.8208961, -16.8231716, -16.8390846, -16.8388386, -16.827282, -16.8307266, -16.8316555, -16.8275032
1539.5599999999995, -16.9294567, -16.9271755, -16.9218178, -16.9256496, -16.9295349, -16.9280491, -16.9297142, -16.9270554, -16.9232616, -16.923172
1539.5799999999995, -17.1950779, -17.2032833, -17.2063255, -17.2079811, -17.209322, -17.204174, -17.2047863, -17.2032757, -17.2048683, -17.2069035
1539.5999999999995, -17.5763283, -17.5846825, -17.5852604, -17.5858078, -17.5856571, -17.5942955, -17.6517067, -17.6589794, -17.624279, -17.5949383
1539.6199999999994, -17.8112411, -17.8123817, -17.8128929, -17.8114624, -17.8116951, -17.8131523, -17.8129387, -17.8109493, -17.8096333, -17.8111992
1539.6399999999994, -17.8353195, -17.8380909, -17.8355141, -17.8363781, -17.8348198, -17.833437, -17.8345413, -17.8326969, -17.8352604, -17.8343124
1539.6599999999994, -17.6481419, -17.6524849, -17.6522903, -17.6498585, -17.6486893, -17.6484623, -17.6479454, -17.647934, -17.6462917, -17.6462173
1539.6799999999994, -17.3500671, -17.3524475, -17.351963, -17.3476257, -17.3484192, -17.3577557, -17.3589191, -17.3563461, -17.3479862, -17.3494473
1539.6999999999994, -17.0921822, -17.0885391, -17.0894985, -17.0879135, -17.0899506, -17.0877724, -17.1181698, -17.1127758, -17.0983181, -17.0947075
1539.7199999999993, -17.3117237, -17.3163433, -17.323164, -17.323513, -17.3203487, -17.3162479, -17.3148479, -17.3071213, -17.3059769, -17.3024731
1539.7399999999993, -20.345541, -20.386446, -20.4719639, -20.5125656, -20.4699726, -20.4339371, -20.4057903, -20.393507, -20.3740902, -20.3441429
1539.7599999999993, -19.2224102, -19.2277737, -19.2159824, -19.2076359, -19.1904545, -19.1656971, -19.1618042, -19.1998425, -19.2183475, -19.2106953
1539.7799999999993, -17.6981754, -17.6983051, -17.6968689, -17.6981754, -17.699194, -17.6988792, -17.7000122, -17.7001705, -17.6999149, -17.700922
1539.7999999999993, -17.7631645, -17.7629986, -17.7664814, -17.7653141, -17.7643642, -17.7605228, -17.7586517, -17.7667332, -17.7605305, -17.7626896
1539.8199999999993, -17.8013058, -17.8151054, -17.7966328, -17.797184, -17.7947178, -17.7916241, -17.7888165, -17.7901096, -17.7915516, -17.7893143
1539.8399999999992, -17.671793, -17.6763496, -17.6701794, -17.6687775, -17.6695271, -17.6721916, -17.6693535, -17.6743622, -17.6679306, -17.6676292
1539.8599999999992, -17.436409, -17.436697, -17.4343281, -17.4321594, -17.4317322, -17.4323997, -17.4348087, -17.4329586, -17.4319572, -17.4297371
1539.8799999999992, -17.1588497, -17.1579132, -17.1594067, -17.1584816, -17.1562634, -17.153616, -17.1534061, -17.1582279, -17.1555405, -17.1537781
1539.8999999999992, -16.9054203, -16.9048786, -16.9033508, -16.9034653, -16.8983307, -16.9019508, -16.9086723, -16.9126358, -16.9041786, -16.9011192
1539.9199999999992, -16.7452431, -16.7439156, -16.7447796, -16.743639, -16.7430363, -16.7399311, -16.7400188, -16.740921, -16.741621, -16.7460327
1539.9399999999991, -16.7501755, -16.7540035, -16.7549534, -16.7528572, -16.7536964, -16.751236, -16.7542725, -16.7483902, -16.7547722, -16.7814083
1539.9599999999991, -16.88204, -16.8780422, -16.8774605, -16.8762875, -16.8776817, -16.8766747, -16.8785801, -16.8771496, -16.8781509, -16.877182
1539.979999999999, -17.105463, -17.1062832, -17.1074543, -17.1077404, -17.1046066, -17.1050911, -17.1047878, -17.1061192, -17.1057625, -17.1047268
1539.999999999999, -17.373045, -17.3720188, -17.3698521, -17.3723278, -17.3700733, -17.3720398, -17.3690109, -17.3682823, -17.36903, -17.3659992
1540.019999999999, -17.5883102, -17.5851555, -17.5849934, -17.5864029, -17.5876122, -17.5864315, -17.5843258, -17.5851936, -17.5875435, -17.58988
1540.039999999999, -17.7086754, -17.705637, -17.7073917, -17.7032375, -17.7038059, -17.7032757, -17.7081871, -17.7056866, -17.7054043, -17.7091961
1540.059999999999, -17.6942406, -17.6940765, -17.6954727, -17.6957283, -17.6999187, -17.7002907, -17.69627, -17.6955509, -17.6949558, -17.6942024
1540.079999999999, -17.5576477, -17.55723, -17.5602589, -17.559515, -17.5602455, -17.5581169, -17.558815, -17.5614281, -17.5709038, -17.5648003
1540.099999999999, -17.3068218, -17.3071194, -17.3066368, -17.3086624, -17.3046913, -17.3055458, -17.3114624, -17.3069649, -17.3098698, -17.3093204
1540.119999999999, -17.0037346, -17.0025692, -17.0032578, -17.005043, -17.0048981, -17.0047798, -17.0069294, -17.0065212, -17.0217648, -17.0078526
1540.139999999999, -16.7458, -16.7441044, -16.7436581, -16.7422752, -16.7512398, -16.7478313, -16.7496471, -16.7450905, -16.7425728, -16.7405891
1540.159999999999, -16.683218, -16.6801758, -16.6868229, -16.6826916, -16.685358, -16.6826763, -16.6802711, -16.6826363, -16.6855221, -16.6863785
1540.179999999999, -16.8450909, -16.8466358, -16.8495216, -16.8511677, -16.8523483, -16.8547668, -16.8537636, -16.8519001, -16.8505688, -16.850956
1540.199999999999, -17.1979465, -17.1951847, -17.1957378, -17.1977825, -17.1987724, -17.2002068, -17.2047768, -17.2037296, -17.2014771, -17.1988316
1540.219999999999, -17.5392628, -17.5402603, -17.5374756, -17.5374489, -17.539463, -17.5425739, -17.5433025, -17.5463028, -17.5447044, -17.5432949
1540.2399999999989, -17.7540607, -17.7459908, -17.7432709, -17.7419567, -17.7415695, -17.7431335, -17.7457466, -17.7443581, -17.7482395, -17.7511272
1540.2599999999989, -17.759346, -17.7695103, -17.7571774, -17.7414532, -17.739172, -17.739172, -17.7457352, -17.7443771, -17.7420998, -17.742691
1540.2799999999988, -17.5538826, -17.5441551, -17.5428562, -17.5417938, -17.5414124, -17.5454178, -17.5400143, -17.539341, -17.5413074, -17.5420189
1540.2999999999988, -17.2471046, -17.2450981, -17.2473164, -17.2474289, -17.2434902, -17.2435379, -17.2428646, -17.2439137, -17.2443676, -17.2452602
1540.3199999999988, -16.9038963, -16.9045677, -16.9056282, -16.9032784, -16.9052734, -16.9029427, -16.9353733, -16.9490719, -17.0472202, -16.9914932
1540.3399999999988, -16.7130642, -16.7149868, -16.711298, -16.7114315, -16.7117577, -16.7129288, -16.7117653, -16.7097664, -16.7112579, -16.7121754
1540.3599999999988, -16.7612476, -16.7628536, -16.7619762, -16.759306, -16.7587738, -16.7614002, -16.7663517, -16.7654991, -16.7676582, -16.7669659
1540.3799999999987, -17.04249, -17.0414791, -17.0428524, -17.0463066, -17.0455723, -17.0483627, -17.0475979, -17.0439186, -17.0429306, -17.0500355
1540.3999999999987, -17.4052696, -17.4055595, -17.4052277, -17.4060078, -17.4036102, -17.4058113, -17.4086361, -17.4088306, -17.4097137, -17.4042187
1540.4199999999987, -17.6703548, -17.6682949, -17.6657848, -17.6636772, -17.6645851, -17.6654987, -17.6666851, -17.6655827, -17.6679478, -17.6656513
