wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1539.0, -15.274353, -15.2747526, -15.2756481, -15.2761917, -15.2761936, -15.2761984, -15.2756729, -15.2755947, -15.2755766, -15.2753448
1539.05, -15.2091436, -15.209692, -15.2119417, -15.2138643, -15.2135468, -15.2133799, -15.2132206, -15.213665, -15.2124443, -15.2128992
1539.1, -15.797575, -15.7982903, -15.7976151, -15.7971554, -15.7974005, -15.7979908, -15.7986078, -15.7979803, -15.7990856, -15.7995443
1539.1499999999999, -16.1107788, -16.110075, -16.1090908, -16.1092396, -16.1091499, -16.1085205, -16.1084156, -16.1095963, -16.1099186, -16.1111965
1539.1999999999998, -15.5852032, -15.5847597, -15.5851383, -15.5850763, -15.5860109, -15.586359, -15.586091, -15.5859327, -15.5862713, -15.5858345
1539.2499999999998, -15.1188402, -15.1186743, -15.1195946, -15.1198988, -15.1215458, -15.1216602, -15.1216745, -15.1208563, -15.122241, -15.1215515
1539.2999999999997, -15.7372208, -15.7363195, -15.7360516, -15.736105, -15.7369881, -15.7372122, -15.7368994, -15.7345181, -15.7355556, -15.7298841
1539.3499999999997, -16.1992531, -16.1987667, -16.1996498, -16.1997986, -16.1997223, -16.1988964, -16.1988449, -16.1990242, -16.1993294, -16.1996422
1539.3999999999996, -15.4812155, -15.4809742, -15.4803743, -15.4806051, -15.4805641, -15.4800863, -15.4796104, -15.4795685, -15.4795456, -15.4796143
1539.4499999999996, -15.2819195, -15.2835379, -15.2850523, -15.2859221, -15.2864752, -15.2856073, -15.285718, -15.2853794, -15.2865534, -15.2860737
1539.4999999999995, -16.0237522, -16.023737, -16.0232391, -16.0233898, -16.023344, -16.0237751, -16.0245037, -16.0235519, -16.0231342, -16.0232258
1539.5499999999995, -15.9444065, -15.9441099, -15.9440765, -15.945137, -15.9454327, -15.9452534, -15.945776, -15.9453983, -15.9456348, -15.9453888
1539.5999999999995, -15.1297197, -15.1293144, -15.1281462, -15.1281509, -15.1285534, -15.1290026, -15.1277866, -15.127738, -15.1282549, -15.1279745
1539.6499999999994, -15.4321995, -15.4319477, -15.4325027, -15.4324341, -15.4326057, -15.4322767, -15.4331827, -15.4331331, -15.4334021, -15.4343109
1539.6999999999994, -16.1544247, -16.1526356, -16.1537132, -16.1543941, -16.1535873, -16.1529064, -16.1544971, -16.1549015, -16.1537609, -16.154068
1539.7499999999993, -15.891161, -15.8903971, -15.8905201, -15.891345, -15.8913803, -15.8905506, -15.8908167, -15.8893127, -15.8895864, -15.8900032
1539.7999999999993, -15.1992321, -15.199502, -15.2009935, -15.2000723, -15.2002983, -15.1999531, -15.1989679, -15.1987267, -15.1988115, -15.1983252
1539.8499999999992, -15.3252134, -15.3233814, -15.3244534, -15.3306713, -15.3340034, -15.3344316, -15.3340788, -15.3338289, -15.3338718, -15.3341036
1539.8999999999992, -15.9491329, -15.9501581, -15.9496059, -15.9499483, -15.9500313, -15.9494009, -15.9491014, -15.9494553, -15.9492693, -15.9481106
1539.9499999999991, -16.1648331, -16.1626854, -16.1628399, -16.1623096, -16.1645966, -16.1649094, -16.1655998, -16.1673622, -16.1666203, -16.1676006
1539.999999999999, -15.5782862, -15.578167, -15.5784445, -15.578948, -15.5793915, -15.578784, -15.5794849, -15.5790358, -15.5783281, -15.5795059
