wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1539.0, -18.0135899, -18.0136833, -18.014782, -18.0188599, -18.0201244, -18.0200062, -18.0152035, -18.011898, -18.0109978, -18.0113945
1539.02, -17.8894005, -17.8863449, -17.889225, -17.8854942, -17.8846569, -17.8884125, -17.8887329, -17.8859711, -17.8879166, -17.8869247
1539.04, -17.6717396, -17.6701202, -17.6698475, -17.6690807, -17.6675835, -17.6670914, -17.6668758, -17.6663475, -17.6669769, -17.6672096
1539.06, -17.3798504, -17.378624, -17.3802261, -17.3769341, -17.375536, -17.3734665, -17.3768711, -17.3737888, -17.3731194, -17.3765068
1539.08, -17.1031857, -17.1027966, -17.102335, -17.1016121, -17.0997791, -17.0997639, -17.0988369, -17.0972767, -17.0993156, -17.100708
1539.1, -16.9886322, -16.973053, -16.9357586, -16.9296494, -16.9366703, -16.9175262, -16.9095898, -16.9117641, -16.9175262, -16.9090672
1539.12, -16.9267235, -16.925993, -16.9202595, -16.9222775, -16.9180355, -16.9188023, -16.9181118, -16.9200554, -16.9175892, -16.9183674
1539.1399999999999, -17.1103115, -17.1105785, -17.1118145, -17.1121616, -17.113018, -17.1136532, -17.1141167, -17.1115723, -17.1125278, -17.1137562
1539.1599999999999, -17.3853302, -17.3842735, -17.3849182, -17.387476, -17.3871441, -17.3852386, -17.3837242, -17.3864899, -17.385046, -17.3829479
1539.1799999999998, -17.6333275, -17.6303806, -17.6298008, -17.6324043, -17.6307774, -17.6295033, -17.629446, -17.6314411, -17.6318398, -17.6302376
1539.1999999999998, -17.7520218, -17.753418, -17.755249, -17.7528172, -17.7557297, -17.7545338, -17.7542648, -17.7532425, -17.7537498, -17.7543488
1539.2199999999998, -17.7133121, -17.7149429, -17.7172756, -17.7140789, -17.71595, -17.7174072, -17.7129059, -17.7147884, -17.7117405, -17.7120152
1539.2399999999998, -17.5027466, -17.5011177, -17.4992466, -17.495491, -17.4976158, -17.4964237, -17.4962578, -17.5030842, -17.499918, -17.4989719
1539.2599999999998, -17.2009964, -17.1998177, -17.1961365, -17.1982708, -17.201437, -17.2001228, -17.1988907, -17.2014866, -17.2012806, -17.2003899
1539.2799999999997, -16.8901386, -16.8855019, -16.8827343, -16.8853569, -16.8844833, -16.8831253, -16.8816338, -16.88204, -16.8829689, -16.885149
1539.2999999999997, -16.6841297, -16.6851883, -16.6857376, -16.6866608, -16.6861725, -16.6869392, -16.6844177, -16.6832733, -16.6835785, -16.6844597
1539.3199999999997, -16.7353134, -16.7358398, -16.7347317, -16.7363472, -16.7406807, -16.7376976, -16.7394505, -16.7400932, -16.7419548, -16.7430878
1539.3399999999997, -17.0574951, -17.0622692, -17.0602112, -17.0550919, -17.0521431, -17.0525055, -17.0550594, -17.0582695, -17.0579338, -17.0554352
1539.3599999999997, -17.4676552, -17.4634857, -17.4642086, -17.4658508, -17.4681606, -17.4672318, -17.4663925, -17.4656544, -17.4610062, -17.461832
1539.3799999999997, -17.7797241, -17.7786636, -17.780838, -17.7812595, -17.7802124, -17.781086, -17.7833519, -17.7824726, -17.7787247, -17.7796555
1539.3999999999996, -17.8872166, -17.892128, -17.9050655, -17.9120064, -17.9156208, -17.9474277, -17.9509945, -17.9345398, -17.9258785, -17.9421043
1539.4199999999996, -17.7607784, -17.7598572, -17.7538643, -17.7526054, -17.7538624, -17.7517185, -17.7504196, -17.7532063, -17.7534714, -17.7511311
1539.4399999999996, -17.5107365, -17.509388, -17.5043774, -17.5059624, -17.5073166, -17.5067272, -17.504488, -17.504364, -17.5029259, -17.5032425
1539.4599999999996, -17.337841, -17.334631, -17.3337326, -17.3341312, -17.3335667, -17.3337326, -17.3441887, -17.3428535, -17.343914, -17.3325367
1539.4799999999996, -17.4731789, -17.4716797, -17.4729061, -17.4757385, -17.4756279, -17.4761658, -17.4835548, -17.4787731, -17.4779396, -17.4770012
1539.4999999999995, -18.9955864, -18.9970036, -18.9984379, -19.0062313, -19.011879, -19.0079956, -19.0114059, -19.0089073, -19.0033512, -19.0018482
1539.5199999999995, -17.2751293, -17.2753906, -17.2742062, -17.2748833, -17.2794666, -17.2755623, -17.2755356, -17.2784348, -17.2729378, -17.2751923
1539.5399999999995, -17.7459412, -17.7430744, -17.7435589, -17.7464542, -17.7468777, -17.7462368, -17.746172, -17.7438793, -17.7435093, -17.7452908
1539.5599999999995, -18.0370731, -18.0315323, -18.0352554, -18.034956, -18.0303745, -18.0744495, -18.0820751, -18.076786, -18.0752792, -18.0527573
1539.5799999999995, -18.2570515, -18.2564678, -18.26157, -18.2599335, -18.2554569, -18.2550755, -18.2548637, -18.2559242, -18.2587433, -18.2564411
1539.5999999999995, -18.4107246, -18.4105358, -18.4133663, -18.409626, -18.4096012, -18.4073029, -18.4092579, -18.4088154, -18.4064522, -18.4085979
1539.6199999999994, -18.3240891, -18.3354797, -18.3695068, -18.3741055, -18.369236, -18.3530312, -18.3311806, -18.3355732, -18.3302898, -18.3250408
1539.6399999999994, -17.8969746, -17.8980007, -17.8990707, -17.8977203, -17.8962612, -17.8955154, -17.8977814, -17.8952122, -17.8957977, -17.8945713
1539.6599999999994, -17.5240059, -17.5221958, -17.5207405, -17.5239525, -17.5267258, -17.5230846, -17.5211563, -17.5211678, -17.5209827, -17.5201969
1539.6799999999994, -17.336813, -17.3376675, -17.3389778, -17.3405743, -17.3413696, -17.3398876, -17.3415909, -17.33881, -17.3369045, -17.3361588
1539.6999999999994, -17.2545872, -17.2545681, -17.2540646, -17.2569027, -17.2522087, -17.2518368, -17.2539577, -17.2541218, -17.254158, -17.2533932
1539.7199999999993, -17.2856197, -17.2831745, -17.2826252, -17.2828369, -17.2852631, -17.2860966, -17.2871475, -17.2881756, -17.2866421, -17.2852497
1539.7399999999993, -17.4298, -17.429491, -17.427887, -17.4282608, -17.4293938, -17.4313374, -17.4305134, -17.4327183, -17.4302998, -17.4301987
1539.7599999999993, -17.6066875, -17.6058331, -17.606411, -17.6080284, -17.6067791, -17.6057835, -17.6084061, -17.6112041, -17.6107635, -17.6064701
1539.7799999999993, -17.7078114, -17.7110825, -17.7093086, -17.7090187, -17.7053318, -17.7069607, -17.7062321, -17.7093086, -17.7069073, -17.7083244
1539.7999999999993, -17.6575203, -17.6590767, -17.6588497, -17.6588078, -17.6561813, -17.6601639, -17.6578617, -17.6569271, -17.6550961, -17.6595173
1539.8199999999993, -17.4654865, -17.4637394, -17.4615116, -17.462616, -17.4624901, -17.4610252, -17.4639034, -17.4647274, -17.4617271, -17.4633675
1539.8399999999992, -17.1710892, -17.174511, -17.1789913, -17.1789284, -17.174078, -17.1716175, -17.177496, -17.1781139, -17.1720753, -17.1713066
