wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1550.0, -18.999382, -18.9867725, -18.9912434, -18.9876633, -18.9891796, -18.9876842, -18.9899044, -18.9879398, -18.9904823, -18.9899845
1550.02, -19.1095562, -19.1102543, -19.1124935, -19.1117592, -19.1101437, -19.1079044, -19.1094646, -19.1080399, -19.1081276, -19.1069336
1550.04, -19.0126286, -19.0099812, -19.0109959, -19.0098763, -19.0082607, -19.011364, -19.0114613, -19.0129147, -19.0124149, -19.0123997
1550.06, -18.7269001, -18.7240944, -18.7230759, -18.7244892, -18.7236328, -18.7231026, -18.7252522, -18.7284851, -18.7282066, -18.7259789
1550.08, -18.2997952, -18.2963848, -18.2985172, -18.2977695, -18.3181915, -18.3261356, -18.3325253, -18.3244419, -18.31423, -18.3102036
1550.1, -17.9623203, -17.9601784, -17.9610481, -17.959383, -17.9603386, -17.9587307, -17.9579563, -17.9614029, -17.9621735, -17.9608212
1550.12, -22.0228329, -22.0701675, -22.1000538, -22.1478901, -22.1801262, -22.2090607, -22.1859589, -22.203537, -22.1877861, -22.1661797
1550.1399999999999, -18.1632996, -18.1580181, -18.1613121, -18.1602764, -18.157896, -18.1559544, -18.1577053, -18.1571712, -18.1550808, -18.1545696
1550.1599999999999, -18.2987518, -18.3022385, -18.2979832, -18.2999306, -18.2978153, -18.2975998, -18.2986889, -18.2963791, -18.2974243, -18.2959938
1550.1799999999998, -18.6841164, -18.6782742, -18.6756115, -18.6729927, -18.6700573, -18.6692047, -18.6727238, -18.6741676, -18.6685333, -18.6679668
1550.1999999999998, -19.053175, -19.05299, -19.0522633, -19.0557079, -19.052887, -19.0536709, -19.0559406, -19.0576782, -19.0572777, -19.0625629
1550.2199999999998, -19.2056541, -19.2077961, -19.2059155, -19.2080269, -19.2043514, -19.2054462, -19.2042828, -19.2043858, -19.2063503, -19.205183
1550.2399999999998, -19.1359367, -19.1354561, -19.1350021, -19.1337509, -19.1349888, -19.1359978, -19.1399555, -19.1335201, -19.1346436, -19.1361675
1550.2599999999998, -18.9619579, -18.9652176, -18.9627628, -18.9620762, -18.964304, -18.9681549, -18.9687729, -18.9659901, -18.9719372, -18.9652596
1550.2799999999997, -18.7420101, -18.7435284, -18.7460766, -18.7478981, -18.7481842, -18.7562561, -18.7498608, -18.7513084, -18.7505665, -18.7524433
1550.2999999999997, -18.5886383, -18.587862, -18.5926857, -18.5932217, -18.5940151, -18.59548, -18.5953121, -18.5954762, -18.5940399, -18.5937843
1550.3199999999997, -18.5109138, -18.5106163, -18.5099258, -18.5123386, -18.5139065, -18.5130405, -18.5150261, -18.5142174, -18.5160885, -18.5153332
1550.3399999999997, -18.4870701, -18.4876766, -18.4873981, -18.4875526, -18.4887848, -18.4958992, -18.490078, -18.4917507, -18.4935551, -18.4878368
1550.3599999999997, -18.5169182, -18.5139618, -18.5152607, -18.5119419, -18.512064, -18.511137, -18.5137501, -18.5133514, -18.5090122, -18.5079403
1550.3799999999997, -18.5932426, -18.5935898, -18.5924187, -18.5930386, -18.5925713, -18.5907936, -18.5919685, -18.5912743, -18.5954933, -18.5930481
1550.3999999999996, -18.7491741, -18.7491722, -18.7492065, -18.7499542, -18.7496185, -18.7507954, -18.7499619, -18.7505703, -18.7488403, -18.7489777
1550.4199999999996, -18.9559116, -18.9598408, -18.9572754, -18.9647751, -18.9596615, -18.9597378, -18.9583893, -18.9571514, -18.9587326, -18.9591331
1550.4399999999996, -19.1704388, -19.1672707, -19.1642761, -19.1646118, -19.1653061, -19.163784, -19.1622524, -19.1625118, -19.1648293, -19.1683121
1550.4599999999996, -19.2798214, -19.2847595, -19.2948875, -19.3246384, -19.3267193, -19.3018265, -19.3030109, -19.2885342, -19.28368, -19.2834263
1550.4799999999996, -19.2847672, -19.281683, -19.2819462, -19.2827568, -19.2826271, -19.2837486, -19.2862492, -19.2867622, -19.2842922, -19.2853966
1550.4999999999995, -19.1461525, -19.1472511, -19.1477451, -19.1465149, -19.1451302, -19.1453171, -19.1483231, -19.1492271, -19.1494751, -19.1468525
1550.5199999999995, -18.8851337, -18.8871269, -18.8833008, -18.8854332, -18.8839188, -18.8864346, -18.8854771, -18.888586, -18.8904514, -18.8842316
1550.5399999999995, -18.5823402, -18.585001, -18.5810833, -18.5791588, -18.577076, -18.5776463, -18.5749836, -18.5731411, -18.5762615, -18.5770645
1550.5599999999995, -18.326273, -18.325779, -18.3285713, -18.325428, -18.3304214, -18.3272057, -18.3256512, -18.3278065, -18.3276615, -18.3289871
1550.5799999999995, -18.2226372, -18.2191105, -18.2194691, -18.2274761, -18.2230759, -18.2199783, -18.2224503, -18.2210312, -18.2215271, -18.2222881
1550.5999999999995, -18.2738609, -18.2712975, -18.2722225, -18.274662, -18.2748737, -18.2741737, -18.2720261, -18.2720947, -18.2710266, -18.2734623
1550.6199999999994, -18.4961128, -18.4985905, -18.4972019, -18.4978867, -18.5016155, -18.5013733, -18.4979553, -18.4987907, -18.5002899, -18.4987888
1550.6399999999994, -18.7857609, -18.7841816, -18.7834892, -18.7828884, -18.7835274, -18.7852364, -18.7848473, -18.784935, -18.7860699, -18.7842216
1550.6599999999994, -19.0380669, -19.0400257, -19.0387039, -19.0397835, -19.0369339, -19.0370846, -19.0374451, -19.0371685, -19.0388145, -19.0383511
1550.6799999999994, -19.1342754, -19.1366539, -19.1357632, -19.1358929, -19.1355553, -19.136097, -19.1335392, -19.1344929, -19.1343536, -19.1352692
1550.6999999999994, -19.0277634, -19.0715485, -19.0539589, -19.0296097, -19.031538, -19.0511703, -19.0460014, -19.0365772, -19.0267906, -19.0320396
1550.7199999999993, -18.6843967, -18.6819859, -18.6879044, -18.6873398, -18.685009, -18.6843758, -18.6858616, -18.6994457, -18.6947823, -18.6947937
1550.7399999999993, -18.266016, -18.2665348, -18.2625675, -18.2660141, -18.26227, -18.2615261, -18.2602978, -18.2591782, -18.2640953, -18.2642593
1550.7599999999993, -17.9491501, -17.9505119, -17.9491234, -17.9494686, -17.9484806, -17.9474735, -17.9460011, -17.9460506, -17.9481297, -17.9503288
1550.7799999999993, -17.9192028, -17.9189968, -17.9186821, -17.9169044, -17.9187145, -17.9189568, -17.9175587, -17.9188995, -17.9193344, -17.9186592
