wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1539.0, -16.7916126, -16.7960854, -16.7919369, -16.7998543, -16.7997379, -16.8023396, -16.7982998, -16.799284, -16.8071079, -16.8105125
1539.1, -17.8065014, -17.804491, -17.8098831, -17.8134518, -17.810997, -17.807394, -17.8072147, -17.8090286, -17.8056602, -17.8050957
1539.1999999999998, -16.4708176, -16.4675713, -16.4702358, -16.4736423, -16.468708, -16.4721146, -16.4666672, -16.4712334, -16.4704895, -16.4687672
1539.2999999999997, -17.8046227, -17.8057308, -17.806818, -17.8085938, -17.809391, -17.8089676, -17.8098774, -17.8069248, -17.8093376, -17.807457
1539.3999999999996, -16.6438084, -16.6417522, -16.6447773, -16.6422462, -16.6398525, -16.6402512, -16.6407413, -16.6434746, -16.6404743, -16.6400471
1539.4999999999995, -17.9140739, -17.9018517, -17.9030113, -17.9015999, -17.9014988, -17.9032974, -17.9048252, -17.9044762, -17.9041786, -17.8997593
1539.5999999999995, -16.7524681, -16.7547398, -16.7550812, -16.7551479, -16.7532234, -16.7578259, -16.756567, -16.7528629, -16.7534657, -16.7549305
1539.6999999999994, -17.6796875, -17.6794586, -17.6882553, -17.6849232, -17.6787376, -17.676403, -17.6772442, -17.6796017, -17.6801701, -17.6791496
1539.7999999999993, -17.1655293, -17.1691017, -17.1668587, -17.1725483, -17.1685619, -17.1664333, -17.1659412, -17.1688919, -17.1686935, -17.1760044
1539.8999999999992, -17.8216953, -17.8250065, -17.8201866, -17.8186531, -17.8166046, -17.8159523, -17.823267, -17.8174267, -17.813139, -17.8145084
1539.999999999999, -16.6766663, -16.6795654, -16.6756706, -16.6751442, -16.6749077, -16.6724434, -16.6767712, -16.6764545, -16.6770573, -16.6793022
1540.099999999999, -17.8693752, -17.8704224, -17.8718109, -17.8716946, -17.875494, -17.87253, -17.8699627, -17.8694038, -17.8688068, -17.8690224
1540.199999999999, -16.7055664, -16.7049809, -16.7044754, -16.7105064, -16.7057838, -16.705492, -16.7045059, -16.7059593, -16.7064705, -16.7044945
1540.2999999999988, -18.0998383, -18.1033993, -18.1008663, -18.0991077, -18.1003075, -18.099514, -18.1001358, -18.1009502, -18.1032543, -18.1053619
1540.3999999999987, -16.7775517, -16.7763729, -16.7769833, -16.7770538, -16.7764835, -16.775425, -16.7802467, -16.7778778, -16.777441, -16.7777939
1540.4999999999986, -17.9048328, -17.9033451, -17.9082222, -17.9068356, -17.9103565, -17.91012, -17.9062042, -17.906395, -17.9043312, -17.9057961
1540.5999999999985, -16.8068047, -16.8061962, -16.8041039, -16.803688, -16.8039818, -16.8051262, -16.8021927, -16.8009624, -16.8036232, -16.801754
1540.6999999999985, -17.8624802, -17.8638592, -17.8613453, -17.8654022, -17.861515, -17.8601665, -17.8597507, -17.8612728, -17.8630943, -17.8629131
1540.7999999999984, -16.865633, -16.8674049, -16.860199, -16.8628387, -16.8591862, -16.8598995, -16.8617744, -16.8604298, -16.8582344, -16.858902
1540.8999999999983, -17.952858, -17.9520149, -17.9572945, -17.9537773, -17.9553871, -17.9523754, -17.9498196, -17.9508629, -17.9515343, -17.9513264
1540.9999999999982, -16.7247181, -16.7221527, -16.7217731, -16.7214527, -16.723093, -16.7236347, -16.7210598, -16.7204285, -16.7222481, -16.7222881
1541.099999999998, -17.8042831, -17.7992744, -17.8021259, -17.7996426, -17.7937508, -17.7998791, -17.794136, -17.7952938, -17.802021, -17.7952404
1541.199999999998, -16.7709045, -16.7710133, -16.773098, -16.773735, -16.7681751, -16.7720757, -16.774044, -16.7688942, -16.7700787, -16.7701321
1541.299999999998, -17.9820824, -17.9784756, -17.9765377, -17.9781895, -17.9795818, -17.9840508, -17.9795074, -17.9784336, -17.9777889, -17.9799156
1541.3999999999978, -16.5832863, -16.5838909, -16.5851707, -16.5860443, -16.5847282, -16.5870495, -16.5832939, -16.5876446, -16.5849819, -16.597187
1541.4999999999977, -17.6877995, -17.6868973, -17.6852741, -17.6807079, -17.6768894, -17.6801815, -17.6795444, -17.6807308, -17.687809, -17.6834126
1541.5999999999976, -16.7313061, -16.7299957, -16.7271347, -16.7282429, -16.730442, -16.7294674, -16.7258186, -16.7268505, -16.7306023, -16.7267799
1541.6999999999975, -17.957655, -17.9590359, -17.9640675, -17.9617748, -17.9596748, -17.963232, -17.9656601, -17.9580746, -17.9554024, -17.9542313
