wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1550.0, -24.1012535, -24.1021633, -24.1028004, -24.1037064, -24.104517, -24.1057453, -24.1067924, -24.1082287, -24.108963, -24.1107635
1550.002, -24.0958023, -24.0961971, -24.0959816, -24.0969582, -24.097435, -24.0980835, -24.0987377, -24.0992107, -24.1018066, -24.1013985
1550.004, -24.0891342, -24.0889359, -24.0884686, -24.0881844, -24.0879993, -24.0879478, -24.0882282, -24.088726, -24.0894165, -24.0897026
1550.0059999999999, -24.0759754, -24.0757542, -24.0761204, -24.0756416, -24.0754795, -24.0760784, -24.0758133, -24.0763073, -24.0777531, -24.0774364
1550.0079999999998, -24.0536385, -24.0537567, -24.0539131, -24.0540142, -24.0537262, -24.0541515, -24.0538521, -24.0535011, -24.0538769, -24.0542526
1550.0099999999998, -24.034235, -24.035038, -24.0349674, -24.0346966, -24.0352154, -24.0354214, -24.0368881, -24.0372524, -24.0375443, -24.0376358
1550.0119999999997, -24.0020561, -24.000473, -24.0002041, -24.0004826, -24.0003281, -24.0005569, -24.0016518, -24.002636, -24.0030117, -24.0034752
1550.0139999999997, -23.975872, -23.9751434, -23.9751034, -23.9757042, -23.9748993, -23.9754429, -23.9751492, -23.9752903, -23.9758606, -23.9749393
1550.0159999999996, -23.9182415, -23.9188175, -23.9192562, -23.9194851, -23.9200993, -23.9207153, -23.920969, -23.9223938, -23.9224205, -23.9226418
1550.0179999999996, -23.901329, -23.9001236, -23.8995399, -23.8997593, -23.9002609, -23.8989086, -23.899641, -23.8989925, -23.898489, -23.8976307
1550.0199999999995, -23.8508263, -23.8510971, -23.8510437, -23.851368, -23.8515377, -23.8515663, -23.8516216, -23.851717, -23.8519211, -23.8520012
1550.0219999999995, -23.8257847, -23.8258419, -23.8254414, -23.8260021, -23.8264351, -23.8267956, -23.8269329, -23.8276958, -23.8276024, -23.8268967
1550.0239999999994, -23.7824459, -23.7810135, -23.7808399, -23.7811775, -23.7824192, -23.7826614, -23.7825451, -23.78298, -23.7831535, -23.7843628
1550.0259999999994, -23.7410431, -23.742281, -23.7447224, -23.7453938, -23.7455292, -23.7456837, -23.7467499, -23.7474823, -23.7486439, -23.7489414
