wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1545.0, -16.7625103, -16.7615376, -16.7596817, -16.761095, -16.7733402, -16.7621613, -16.7663822, -16.7642822, -16.7586575, -16.7600193
1545.02, -16.7085438, -16.707674, -16.7085743, -16.7159195, -16.7181168, -16.7134094, -16.7120914, -16.7125435, -16.7122974, -16.7131691
1545.04, -16.7598476, -16.7620201, -16.7616234, -16.7591038, -16.7593174, -16.7573242, -16.7631283, -16.7596321, -16.7597713, -16.7633762
1545.06, -16.8742847, -16.8774014, -16.875967, -16.8801918, -16.8760509, -16.8737602, -16.8717442, -16.8758621, -16.880764, -16.8832912
1545.08, -17.0432129, -17.0431824, -17.0431499, -17.0429363, -17.0422134, -17.0442505, -17.0429859, -17.0476112, -17.0468445, -17.0481853
1545.1, -17.1796036, -17.18297, -17.1837997, -17.1839581, -17.1799507, -17.181057, -17.1812992, -17.182209, -17.184782, -17.1848011
1545.12, -17.2658482, -17.2637577, -17.265295, -17.2646389, -17.2680531, -17.2669506, -17.2662773, -17.265213, -17.2660961, -17.2676411
1545.1399999999999, -17.2831898, -17.284256, -17.2839527, -17.2855206, -17.2844009, -17.2844944, -17.2828064, -17.2854156, -17.2836342, -17.2841511
1545.1599999999999, -17.2444725, -17.2447529, -17.2432518, -17.2427673, -17.2440815, -17.2438812, -17.2448483, -17.2487297, -17.2526016, -17.2488537
1545.1799999999998, -17.1700649, -17.1705055, -17.1722527, -17.1768856, -17.1742172, -17.1723328, -17.1737366, -17.1779251, -17.1714554, -17.1949425
1545.1999999999998, -17.126791, -17.1227779, -17.1230202, -17.1266441, -17.1248131, -17.1241074, -17.1199875, -17.1194153, -17.1198635, -17.1183758
1545.2199999999998, -17.1166592, -17.1121082, -17.1146374, -17.1106911, -17.1099586, -17.1094074, -17.1087971, -17.1086082, -17.1115742, -17.1107845
1545.2399999999998, -17.163847, -17.1682014, -17.1727886, -17.1764202, -17.1701965, -17.1693554, -17.1728477, -17.1649132, -17.1644878, -17.1654301
1545.2599999999998, -17.2927723, -17.2997513, -17.2949715, -17.2975521, -17.2914696, -17.2949829, -17.2939949, -17.2942791, -17.2929859, -17.2975559
1545.2799999999997, -17.4812908, -17.4808846, -17.4822235, -17.481596, -17.4810333, -17.4815292, -17.4777126, -17.4798412, -17.4816952, -17.4840813
1545.2999999999997, -17.6870995, -17.6885223, -17.6849804, -17.6807137, -17.6793118, -17.6808071, -17.6829128, -17.6832829, -17.6841297, -17.683754
1545.3199999999997, -17.8889713, -17.888855, -17.888855, -17.8894691, -17.8876171, -17.8887177, -17.8872929, -17.8867302, -17.8849583, -17.889473
1545.3399999999997, -18.045269, -18.0459423, -18.0481529, -18.0475044, -18.0476608, -18.046381, -18.0471706, -18.0497131, -18.0512486, -18.0485573
1545.3599999999997, -18.1446495, -18.1385345, -18.1401463, -18.1393623, -18.1407642, -18.1408424, -18.1413536, -18.1427975, -18.1422291, -18.1429653
1545.3799999999997, -18.1968536, -18.1971569, -18.1966572, -18.198595, -18.1986446, -18.1979485, -18.1968346, -18.2002487, -18.1988163, -18.1994095
1545.3999999999996, -18.2497177, -18.2499466, -18.2508125, -18.2498779, -18.2502422, -18.2505226, -18.248024, -18.2498417, -18.2501183, -18.2517605
1545.4199999999996, -18.3504391, -18.350399, -18.3549347, -18.3500538, -18.3482227, -18.3476715, -18.3455563, -18.3486137, -18.3474503, -18.3476334
1545.4399999999996, -18.566864, -18.5675163, -18.5712929, -18.5671864, -18.5680027, -18.5704842, -18.5714359, -18.568531, -18.5711937, -18.5697784
1545.4599999999996, -18.892519, -18.892458, -18.8924637, -18.8912811, -18.890358, -18.8913517, -18.889864, -18.89147, -18.890089, -18.8895569
1545.4799999999996, -19.3121262, -19.3108997, -19.310833, -19.3096256, -19.3068142, -19.3070984, -19.3089218, -19.3107395, -19.307663, -19.3084526
1545.4999999999995, -19.749279, -19.7468204, -19.748436, -19.7425556, -19.741251, -19.7428513, -19.7469254, -19.7399426, -19.7413502, -19.7405682
1545.5199999999995, -20.1041107, -20.1041565, -20.103838, -20.1030998, -20.1037426, -20.1056004, -20.1053314, -20.1044559, -20.106638, -20.1049023
1545.5399999999995, -20.3955803, -20.3955956, -20.400095, -20.3964424, -20.3952808, -20.3941479, -20.396122, -20.3949604, -20.4006672, -20.3952751
1545.5599999999995, -20.6753197, -20.6773357, -20.673214, -20.6731243, -20.6744576, -20.6748409, -20.6723042, -20.6765709, -20.6774063, -20.6777248
1545.5799999999995, -21.1119652, -21.1111641, -21.1097908, -21.1109581, -21.1126823, -21.1129875, -21.1105556, -21.1092167, -21.1098976, -21.1084423
1545.5999999999995, -21.7832489, -21.7861385, -21.7870617, -21.7872772, -21.7845917, -21.7841702, -21.7832355, -21.7859879, -21.7870541, -21.7837009
1545.6199999999994, -22.7540684, -22.7574444, -22.7575264, -22.7577076, -22.7573051, -22.7614155, -22.7621098, -22.7549076, -22.758276, -22.75807
1545.6399999999994, -23.8263702, -23.8267193, -23.8304081, -23.832613, -23.8337746, -23.8374805, -23.8362846, -23.8363495, -23.8378391, -23.8356934
1545.6599999999994, -24.8448772, -24.8410358, -24.8323174, -24.8287773, -24.8281231, -24.8274155, -24.8253841, -24.824688, -24.8253613, -24.8242264
1545.6799999999994, -25.6987362, -25.6989288, -25.6999588, -25.7016087, -25.7023296, -25.7054119, -25.7026691, -25.706871, -25.7149277, -25.7055435
1545.6999999999994, -26.5789299, -26.579628, -26.5820103, -26.580965, -26.5812721, -26.5812798, -26.5825901, -26.5827217, -26.5823002, -26.5834942
1545.7199999999993, -27.6686096, -27.6684341, -27.6715164, -27.6700401, -27.6687698, -27.6698494, -27.6690559, -27.6671734, -27.6670837, -27.6675873
1545.7399999999993, -29.3041821, -29.3070793, -29.3075924, -29.3092403, -29.3133812, -29.3135376, -29.3149815, -29.3131542, -29.3137188, -29.3104649
1545.7599999999993, -31.3103809, -31.307497, -31.3045578, -31.3048325, -31.3048687, -31.3044682, -31.3049393, -31.3025646, -31.3040733, -31.3034782
1545.7799999999993, -33.6496468, -33.6498299, -33.650074, -33.658886, -33.6609344, -33.663723, -33.661068, -33.6580963, -33.6556282, -33.6558075
1545.7999999999993, -35.2632904, -35.2472038, -35.2418823, -35.2465363, -35.2489967, -35.2418976, -35.2408524, -35.2518883, -35.2454758, -35.2505722
1545.8199999999993, -35.0896225, -35.0947762, -35.0997467, -35.0981903, -35.1039886, -35.1040306, -35.0732231, -35.0532608, -35.0723038, -35.0834694
1545.8399999999992, -33.7890549, -33.7808456, -33.7768021, -33.7846413, -33.7847481, -33.7871323, -33.7899818, -33.7896652, -33.7890472, -33.7842369
1545.8599999999992, -32.2735863, -32.271965, -32.271656, -32.2724648, -32.2693291, -32.2689247, -32.2721329, -32.2768288, -32.2812309, -32.280426
1545.8799999999992, -30.7796021, -30.7748775, -30.7758961, -30.7786083, -30.7739029, -30.7763958, -30.7783375, -30.7765045, -30.779665, -30.7798309
1545.8999999999992, -29.4648476, -29.4638214, -29.4623337, -29.4600029, -29.4598789, -29.4590225, -29.460638, -29.4617271, -29.4633446, -29.4610806
1545.9199999999992, -28.4233665, -28.4194088, -28.4175148, -28.4170589, -28.4187202, -28.4181271, -28.4184284, -28.4201393, -28.4167881, -28.4177189
1545.9399999999991, -27.5747452, -27.5736885, -27.5738354, -27.5724468, -27.5731564, -27.5724659, -27.5728912, -27.5751953, -27.5735321, -27.5723209
1545.9599999999991, -26.9328289, -26.9323444, -26.9296379, -26.9292221, -26.9309349, -26.9304714, -26.9300613, -26.9294853, -26.933424, -26.9338837
1545.979999999999, -26.3131313, -26.3124809, -26.309906, -26.3067856, -26.3045197, -26.3060722, -26.3082752, -26.3090782, -26.307869, -26.307127
1545.999999999999, -25.6526451, -25.6532955, -25.6547546, -25.6544876, -25.6510944, -25.647686, -25.6487751, -25.652319, -25.7423668, -25.66535
1546.019999999999, -24.9874516, -24.9818325, -24.9798508, -24.9780216, -24.9767628, -24.975544, -24.9770679, -24.9805412, -24.979435, -24.9754276
1546.039999999999, -24.3402824, -24.3428307, -24.3342152, -24.3346348, -24.3351555, -24.3329544, -24.3349819, -24.3466225, -24.3803673, -24.3736057
1546.059999999999, -23.8037205, -23.8052883, -23.8069687, -23.806612, -23.805048, -23.8052006, -23.8080673, -23.8088055, -23.8098507, -23.8109913
1546.079999999999, -23.4182014, -23.4199409, -23.4208698, -23.4263649, -23.4284496, -23.4249134, -23.4254036, -23.4233379, -23.4259892, -23.4269886
1546.099999999999, -23.153019, -23.1545734, -23.1544456, -23.1544113, -23.1572914, -23.1573277, -23.1634369, -23.1654816, -23.1596031, -23.1644058
