wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1549.0, -16.713047, -16.7218189, -16.7201977, -16.718483, -16.7172546, -16.7180576, -16.7198391, -16.7167683, -16.7150097, -16.7072735
1549.002, -16.721508, -16.7216797, -16.7163658, -16.7042065, -16.7173748, -16.712616, -16.7194729, -16.7128582, -16.7179623, -16.7195549
1549.004, -16.7271824, -16.7291031, -16.7273159, -16.7296734, -16.7269268, -16.7211094, -16.7165775, -16.7209129, -16.7239208, -16.7207966
1549.0059999999999, -16.734251, -16.7348518, -16.7348099, -16.7304688, -16.7301426, -16.7272377, -16.7279758, -16.7336521, -16.7321091, -16.7293816
1549.0079999999998, -16.7417316, -16.743927, -16.7442036, -16.7439423, -16.744669, -16.7463303, -16.7447586, -16.7428532, -16.7427425, -16.741909
1549.0099999999998, -16.7553463, -16.7542248, -16.7546997, -16.7562866, -16.7559834, -16.755579, -16.7560349, -16.755125, -16.7548122, -16.7538204
1549.0119999999997, -16.7620773, -16.7625484, -16.7635174, -16.7565632, -16.7513828, -16.7531147, -16.7570152, -16.7507248, -16.7601795, -16.7597389
1549.0139999999997, -16.7674561, -16.7701321, -16.7731228, -16.7747517, -16.7751923, -16.7730484, -16.7685108, -16.7710476, -16.76754, -16.7710552
1549.0159999999996, -16.7760124, -16.7804432, -16.7764511, -16.7699776, -16.7736797, -16.769659, -16.7781105, -16.7808914, -16.7862644, -16.7881145
1549.0179999999996, -16.7975826, -16.7915268, -16.7970543, -16.7961845, -16.7946606, -16.7982845, -16.8013096, -16.8025856, -16.7999172, -16.7973633
1549.0199999999995, -16.8194408, -16.8210373, -16.8199501, -16.8202839, -16.8165226, -16.8181438, -16.8151188, -16.8210659, -16.8215065, -16.8171444
1549.0219999999995, -16.8335438, -16.8349133, -16.8328285, -16.8316193, -16.8306236, -16.8327579, -16.8322239, -16.8344421, -16.8349152, -16.8336391
1549.0239999999994, -16.8418903, -16.8471985, -16.8497505, -16.8470154, -16.8512402, -16.8517551, -16.8466282, -16.8493786, -16.8461781, -16.8465843
1549.0259999999994, -16.8589916, -16.861681, -16.8632927, -16.8655605, -16.8638744, -16.8654652, -16.8656731, -16.857769, -16.861784, -16.8593521
1549.0279999999993, -16.8792706, -16.8814049, -16.8791637, -16.8717289, -16.8696175, -16.8769093, -16.8777027, -16.8785782, -16.8782177, -16.8709087
1549.0299999999993, -16.887558, -16.8897858, -16.8932781, -16.8904514, -16.8870544, -16.886755, -16.8939228, -16.8938065, -16.8881111, -16.8796062
1549.0319999999992, -16.9053116, -16.9074039, -16.908556, -16.9089775, -16.90909, -16.9059048, -16.9090557, -16.906147, -16.9064293, -16.9076004
1549.0339999999992, -16.9202576, -16.9199219, -16.9220467, -16.9199085, -16.9025211, -16.9047318, -16.9022884, -16.9122467, -16.9091568, -16.9169922
1549.0359999999991, -16.9410934, -16.9423923, -16.9451904, -16.943737, -16.9439659, -16.9438152, -16.9430485, -16.9416409, -16.9414177, -16.9445362
1549.037999999999, -16.9585285, -16.9593258, -16.9588203, -16.9573193, -16.959959, -16.95611, -16.9572086, -16.9547939, -16.9567909, -16.9538193
1549.039999999999, -16.9744186, -16.9760704, -16.9789009, -16.9799442, -16.9800682, -16.975235, -16.9828529, -16.9853134, -16.9782906, -16.9814892
1549.041999999999, -16.9935055, -16.9959698, -16.9937992, -16.9933891, -16.9927044, -16.9935055, -16.9952812, -16.99436, -16.994957, -16.9912472
1549.043999999999, -16.9915257, -17.0024738, -16.994812, -16.9998055, -17.0028057, -17.0096016, -17.0131454, -17.0133171, -17.0111027, -17.0081367
1549.045999999999, -17.013546, -17.0138531, -17.0231113, -17.0270042, -17.0279312, -17.0308399, -17.0289803, -17.0231724, -17.0233765, -17.0262814
1549.0479999999989, -17.0416718, -17.039957, -17.0438309, -17.0364361, -17.0377407, -17.0447655, -17.0467224, -17.0384312, -17.0251408, -17.0324783
1549.0499999999988, -17.0571404, -17.0552902, -17.0556736, -17.0513229, -17.0536766, -17.0575886, -17.0529327, -17.0554638, -17.0545464, -17.0560093
1549.0519999999988, -17.0743999, -17.0715389, -17.0697727, -17.0723591, -17.0749569, -17.0623112, -17.0428944, -17.0515823, -17.0729179, -17.0762901
1549.0539999999987, -17.0919361, -17.084837, -17.08638, -17.0908909, -17.0899391, -17.0891705, -17.0900612, -17.0862942, -17.0875931, -17.0866394
1549.0559999999987, -17.0969868, -17.0985146, -17.0988693, -17.0987034, -17.101265, -17.1000633, -17.0997906, -17.1005688, -17.1016102, -17.0989876
1549.0579999999986, -16.9815521, -17.0335941, -17.0907536, -17.1127319, -17.1158772, -17.1135426, -17.1088696, -17.1149311, -17.1160336, -17.1142845
1549.0599999999986, -17.1234188, -17.1253071, -17.12714, -17.1261234, -17.1285362, -17.1275501, -17.1300144, -17.1294708, -17.1280575, -17.1294365
1549.0619999999985, -17.1403561, -17.1382504, -17.137413, -17.1374683, -17.1350994, -17.1359921, -17.1316719, -17.1356277, -17.1351814, -17.1353931
1549.0639999999985, -17.1489944, -17.1510906, -17.1503944, -17.1521873, -17.1517792, -17.1541481, -17.154974, -17.1604843, -17.1636467, -17.1669655
1549.0659999999984, -17.1718407, -17.1739178, -17.1711769, -17.1702766, -17.1673126, -17.1675072, -17.1730976, -17.1754532, -17.1760063, -17.1775799
1549.0679999999984, -17.1859188, -17.1811028, -17.1795959, -17.1792259, -17.1827297, -17.1822872, -17.181675, -17.1810608, -17.1798458, -17.1770611
1549.0699999999983, -17.1827202, -17.1850491, -17.1880627, -17.1886444, -17.1888542, -17.186594, -17.1783314, -17.1782169, -17.1872063, -17.1875572
1549.0719999999983, -17.1909904, -17.1988068, -17.2008152, -17.1970978, -17.1939201, -17.1918793, -17.1952114, -17.2004395, -17.1967602, -17.2001934
1549.0739999999983, -17.2081318, -17.2132206, -17.2144203, -17.217905, -17.2191181, -17.2201309, -17.2184887, -17.2170639, -17.2155075, -17.2151794
1549.0759999999982, -17.2143497, -17.2174606, -17.2148533, -17.2117653, -17.2124996, -17.2137794, -17.2123184, -17.212822, -17.2127647, -17.211216
1549.0779999999982, -17.2262077, -17.2246685, -17.2220726, -17.2242374, -17.2248573, -17.2258949, -17.2254868, -17.2235146, -17.2200756, -17.2217827
1549.079999999998, -17.2284184, -17.2240677, -17.225481, -17.2266693, -17.2273464, -17.2260075, -17.2266846, -17.2268009, -17.2251492, -17.2266598
1549.081999999998, -17.2292786, -17.2290325, -17.2304897, -17.2288284, -17.2263145, -17.2291546, -17.2296772, -17.2298641, -17.2309151, -17.2274532
1549.083999999998, -17.2324486, -17.230526, -17.2297688, -17.2292557, -17.2285252, -17.2338047, -17.2311554, -17.2338676, -17.2332973, -17.2329426
1549.085999999998, -17.2305927, -17.2309666, -17.2312317, -17.2401028, -17.2499523, -17.2527218, -17.2540646, -17.2556591, -17.2543526, -17.2500248
1549.087999999998, -17.2394066, -17.2374916, -17.241045, -17.2432499, -17.2469063, -17.2490673, -17.2509708, -17.2489586, -17.2496071, -17.2486248
1549.0899999999979, -17.244215, -17.2386417, -17.2378902, -17.2325516, -17.2356777, -17.2359886, -17.2309437, -17.2227974, -17.2273617, -17.2301788
1549.0919999999978, -17.2378578, -17.2379894, -17.2371311, -17.2331409, -17.2334557, -17.2344131, -17.2370739, -17.2398758, -17.2391014, -17.2362823
1549.0939999999978, -17.2290897, -17.2309895, -17.2310791, -17.2299194, -17.2307243, -17.2300758, -17.2303944, -17.2312622, -17.2323856, -17.2339783
1549.0959999999977, -17.2337055, -17.2335758, -17.2370892, -17.2342834, -17.2308464, -17.2228012, -17.2307415, -17.2314682, -17.2336388, -17.2367516
1549.0979999999977, -17.2193604, -17.2234306, -17.2246037, -17.2262611, -17.2297993, -17.2301521, -17.230072, -17.2310123, -17.2299919, -17.2303543
1549.0999999999976, -17.2205067, -17.2230091, -17.2222805, -17.2221222, -17.2241631, -17.2233658, -17.2216415, -17.2192688, -17.2202988, -17.2156601
1549.1019999999976, -17.218401, -17.2204151, -17.2211876, -17.2197208, -17.2190495, -17.2199459, -17.2172375, -17.2168064, -17.2190781, -17.2191811
1549.1039999999975, -17.2155418, -17.2141361, -17.2153625, -17.2145844, -17.2126446, -17.2074451, -17.2134094, -17.2100811, -17.2137012, -17.2078476
1549.1059999999975, -17.2065353, -17.2073326, -17.2067814, -17.2051964, -17.2062321, -17.2032757, -17.205349, -17.2063255, -17.2054329, -17.2027397
1549.1079999999974, -17.1997643, -17.1980209, -17.1988106, -17.1984367, -17.1988411, -17.1987476, -17.1996441, -17.1975441, -17.1966782, -17.1973057
1549.1099999999974, -17.1875038, -17.1851254, -17.1934242, -17.1887016, -17.1905308, -17.1910572, -17.1892319, -17.1891747, -17.188858, -17.1898918
1549.1119999999974, -17.1876316, -17.1915321, -17.1904469, -17.1895714, -17.1850834, -17.1901417, -17.185215, -17.1846428, -17.1791897, -17.1848221
1549.1139999999973, -17.1742153, -17.1773758, -17.1806355, -17.181076, -17.1798763, -17.1792107, -17.1800632, -17.1802139, -17.185133, -17.185545
