wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1529.0, -19.6910152, -19.6932888, -19.6923428, -19.6930714, -19.6952229, -19.6948433, -19.6941128, -19.693306, -19.6932774, -19.6933994
1529.1, -19.7455502, -19.7474499, -19.7476635, -19.7462101, -19.7468395, -19.7471905, -19.7465267, -19.7446194, -19.7458305, -19.7463627
1529.1999999999998, -19.6053009, -19.604702, -19.602417, -19.6037731, -19.6073322, -19.606411, -19.608633, -19.6086979, -19.6079273, -19.6076965
1529.2999999999997, -19.6814308, -19.6802368, -19.6786156, -19.6785297, -19.6802406, -19.6809196, -19.6813946, -19.681078, -19.6814957, -19.6806393
1529.3999999999996, -19.5437298, -19.545702, -19.5457058, -19.5439529, -19.5456028, -19.5424938, -19.5433807, -19.5426445, -19.5436821, -19.5428677
1529.4999999999995, -19.6275539, -19.6291199, -19.6299782, -19.6297836, -19.627533, -19.6260681, -19.6268272, -19.6290321, -19.6293011, -19.6248665
1529.5999999999995, -19.5755615, -19.5774765, -19.578392, -19.5768471, -19.5778847, -19.5769424, -19.5723858, -19.5768433, -19.5780716, -19.5785236
1529.6999999999994, -19.6066837, -19.6050243, -19.6095638, -19.6096592, -19.6092319, -19.6083794, -19.6092281, -19.6103687, -19.609396, -19.6087132
1529.7999999999993, -19.5274315, -19.5272827, -19.5263977, -19.5258961, -19.5261345, -19.5201817, -19.5205669, -19.4828491, -19.4366608, -19.4516773
1529.8999999999992, -19.5346909, -19.5347538, -19.5342903, -19.5337791, -19.5322227, -19.5325451, -19.5346756, -19.5352249, -19.5356274, -19.5355434
1529.999999999999, -19.4387188, -19.4390774, -19.4415474, -19.4387131, -19.4406109, -19.4390526, -19.4401016, -19.4392986, -19.4416885, -19.4418354
1530.099999999999, -19.5498753, -19.550354, -19.5503807, -19.5492706, -19.5489006, -19.5462761, -19.54673, -19.5476227, -19.5467014, -19.5466824
1530.199999999999, -19.3661842, -19.3662071, -19.3665218, -19.3677807, -19.3676109, -19.3667965, -19.3659515, -19.3661251, -19.3633213, -19.3635483
1530.2999999999988, -19.4799061, -19.4810486, -19.482254, -19.4838753, -19.4833431, -19.4826488, -19.4839687, -19.4841557, -19.4846382, -19.4846573
1530.3999999999987, -19.3765278, -19.3769779, -19.3757973, -19.3771229, -19.3759975, -19.373045, -19.3745956, -19.3720589, -19.3735867, -19.3707142
1530.4999999999986, -19.4409904, -19.4446831, -19.4469128, -19.447731, -19.4470329, -19.4459629, -19.4468536, -19.4487972, -19.4488258, -19.4481926
1530.5999999999985, -19.3991585, -19.3985043, -19.3996181, -19.3983593, -19.3963718, -19.3970566, -19.3980484, -19.3978386, -19.3998203, -19.3997116
1530.6999999999985, -19.3987179, -19.3975925, -19.3979301, -19.3979759, -19.397562, -19.3966198, -19.3982162, -19.3981476, -19.3974094, -19.3989925
1530.7999999999984, -19.3287868, -19.3285522, -19.3288441, -19.3301678, -19.3298473, -19.3317528, -19.332489, -19.3303604, -19.332489, -19.3319798
1530.8999999999983, -19.4301929, -19.4297218, -19.4299107, -19.4287128, -19.4303398, -19.4293671, -19.4295197, -19.4300976, -19.4296227, -19.4299393
1530.9999999999982, -19.3098907, -19.3109417, -19.3114433, -19.3128967, -19.3125057, -19.3082886, -19.3092194, -19.3084049, -19.3085155, -19.3087673
1531.099999999998, -19.4143124, -19.4154587, -19.4155254, -19.4147854, -19.4139652, -19.4130478, -19.4147511, -19.416069, -19.4157219, -19.4160538
1531.199999999998, -19.3003368, -19.3000126, -19.3021469, -19.3020115, -19.3013515, -19.2988377, -19.3003883, -19.2995224, -19.2967968, -19.2995224
1531.299999999998, -19.3875561, -19.3867931, -19.3866367, -19.3878899, -19.3890018, -19.3901482, -19.3894596, -19.3893604, -19.3902302, -19.3891106
1531.3999999999978, -19.3456097, -19.3446941, -19.3440475, -19.3420544, -19.344532, -19.3458004, -19.3468609, -19.3475571, -19.3456802, -19.3396282
1531.4999999999977, -19.3562164, -19.3542786, -19.3509674, -19.3526268, -19.3551655, -19.3557434, -19.3555202, -19.3564663, -19.3559303, -19.3548908
1531.5999999999976, -19.2974129, -19.2976589, -19.2982178, -19.2962284, -19.298418, -19.3006916, -19.3009319, -19.3025322, -19.3024445, -19.2986221
1531.6999999999975, -19.3458405, -19.3453999, -19.3453102, -19.3446579, -19.343132, -19.3436184, -19.3428116, -19.3448353, -19.3457947, -19.3450508
1531.7999999999975, -19.2653618, -19.2662125, -19.2661057, -19.267231, -19.2665291, -19.2637577, -19.2622986, -19.2635441, -19.263998, -19.2638607
1531.8999999999974, -19.4139252, -19.4111843, -19.4129295, -19.4145412, -19.4135284, -19.4132347, -19.412756, -19.4146652, -19.4144573, -19.4154854
1531.9999999999973, -19.2822495, -19.2823086, -19.2833939, -19.2831631, -19.2841415, -19.2842751, -19.2844753, -19.284502, -19.2844486, -19.2829418
1532.0999999999972, -19.3874722, -19.3869495, -19.3866158, -19.3851109, -19.3850193, -19.3856792, -19.3875942, -19.3885612, -19.3878193, -19.3884048
1532.199999999997, -19.3113213, -19.3102894, -19.3084297, -19.3067627, -19.3072433, -19.3079872, -19.3093529, -19.3093967, -19.3100395, -19.3091888
1532.299999999997, -19.3375416, -19.3381577, -19.3376865, -19.3361683, -19.3350086, -19.3381939, -19.3368759, -19.3384571, -19.3381329, -19.3367901
1532.399999999997, -19.322998, -19.3229237, -19.3232689, -19.3225307, -19.3199692, -19.3190174, -19.3212643, -19.3219872, -19.3217983, -19.3236351
1532.4999999999968, -19.3156681, -19.3159142, -19.3167439, -19.315958, -19.3133526, -19.3139515, -19.3138657, -19.3154831, -19.3147068, -19.314373
1532.5999999999967, -19.240654, -19.2407551, -19.2398739, -19.2388878, -19.2384586, -19.2400246, -19.2396164, -19.2393627, -19.2386703, -19.2383175
1532.6999999999966, -19.3490105, -19.3497715, -19.3499241, -19.3481617, -19.3481827, -19.3484459, -19.3473587, -19.3485432, -19.3497467, -19.3485279
1532.7999999999965, -19.2558575, -19.2572193, -19.257019, -19.2541542, -19.2560844, -19.2555408, -19.2568302, -19.2568493, -19.2579575, -19.2577209
1532.8999999999965, -19.3534908, -19.3525925, -19.3507957, -19.3504353, -19.3526402, -19.3531895, -19.3545151, -19.3545189, -19.3540363, -19.3524818
1532.9999999999964, -19.2831001, -19.2817307, -19.2817822, -19.2822666, -19.281023, -19.2780056, -19.2815094, -19.2828407, -19.283617, -19.2833328
1533.0999999999963, -19.2783794, -19.2780933, -19.2804756, -19.2806587, -19.2756615, -19.2770405, -19.2788563, -19.2794704, -19.2789307, -19.2788181
1533.1999999999962, -19.2544708, -19.2533379, -19.2517452, -19.2522945, -19.2575569, -19.2563858, -19.2559891, -19.2549763, -19.2544994, -19.2558651
1533.299999999996, -19.2532349, -19.254673, -19.2535954, -19.2522163, -19.2527084, -19.2527523, -19.2526398, -19.2531509, -19.2538776, -19.2537785
1533.399999999996, -19.187767, -19.1904411, -19.1930141, -19.191967, -19.1905422, -19.1906185, -19.1917763, -19.1906967, -19.1915207, -19.1915359
1533.499999999996, -19.2488575, -19.2476177, -19.2484741, -19.2487621, -19.2470112, -19.2465, -19.2476368, -19.2484703, -19.2481308, -19.2480526
1533.5999999999958, -19.1332664, -19.1322556, -19.1297779, -19.1337643, -19.1351814, -19.1313572, -19.127224, -19.1320152, -19.1326351, -19.1356964
1533.6999999999957, -19.2578106, -19.2594814, -19.2580128, -19.2584724, -19.2593575, -19.2590694, -19.2577305, -19.2598534, -19.2602959, -19.2597618
1533.7999999999956, -19.1304741, -19.1314564, -19.1320076, -19.1312485, -19.1301289, -19.1305275, -19.1316509, -19.1322784, -19.1318054, -19.1308708
1533.8999999999955, -19.1665039, -19.1675625, -19.1661663, -19.1673508, -19.1676292, -19.1675091, -19.1671276, -19.1671162, -19.1679859, -19.1669064
1533.9999999999955, -19.1549816, -19.1551609, -19.1551971, -19.1555557, -19.1551704, -19.155035, -19.1550102, -19.1542892, -19.1549988, -19.1542549
1534.0999999999954, -19.1049061, -19.1058578, -19.1044331, -19.1031113, -19.1002445, -19.1000366, -19.1012287, -19.1004677, -19.1034775, -19.103651
