wavelength_nm ,power_reading_0_dbm ,power_reading_1_dbm ,power_reading_2_dbm ,power_reading_3_dbm ,power_reading_4_dbm ,power_reading_5_dbm ,power_reading_6_dbm ,power_reading_7_dbm ,power_reading_8_dbm ,power_reading_9_dbm 
1550.0, -14.1349306, -14.1348629, -14.1348314, -14.1344643, -14.135375, -14.1354637, -14.1356277, -14.1359186, -14.1360464, -14.1362295
1550.1, -14.1583166, -14.1576586, -14.1579695, -14.1577978, -14.1579123, -14.1586046, -14.1596861, -14.1605406, -14.1615887, -14.1635971
1550.1999999999998, -14.3492231, -14.3515024, -14.3529444, -14.3540773, -14.3551741, -14.3548079, -14.3553629, -14.3544703, -14.3537045, -14.3534708
1550.2999999999997, -13.9379292, -13.9381742, -13.9388618, -13.9399195, -13.9403448, -13.939537, -13.9376917, -13.9379835, -13.9382143, -13.9380465
1550.3999999999996, -14.3620586, -14.3611555, -14.3617802, -14.361886, -14.3618965, -14.3625126, -14.3619719, -14.3623247, -14.3623247, -14.3622389
1550.4999999999995, -13.9344625, -13.9349489, -13.9348593, -13.9347258, -13.9345551, -13.9345026, -13.9341869, -13.9336653, -13.9339266, -13.9325171
1550.5999999999995, -14.4471436, -14.4469643, -14.4472351, -14.4472942, -14.4478798, -14.4486189, -14.4485836, -14.4469376, -14.4467936, -14.4468765
1550.6999999999994, -13.9619694, -13.9625158, -13.9621201, -13.9620628, -13.9612722, -13.9617386, -13.9607544, -13.9609127, -13.9609089, -13.9602594
1550.7999999999993, -14.3397722, -14.3394623, -14.3398371, -14.33986, -14.3399048, -14.3399105, -14.3402796, -14.3409777, -14.3416862, -14.3415394
1550.8999999999992, -14.0843315, -14.0839615, -14.0831614, -14.0839577, -14.0840912, -14.0846014, -14.0843697, -14.0844183, -14.0843105, -14.0842085
1550.999999999999, -14.4603605, -14.4612331, -14.4611521, -14.4607487, -14.4601707, -14.459856, -14.4592896, -14.4599676, -14.4590273, -14.4591208
1551.099999999999, -14.022871, -14.0214729, -14.0213423, -14.0205994, -14.0202799, -14.0203838, -14.0205374, -14.021534, -14.0223436, -14.0222645
1551.199999999999, -14.480195, -14.4803028, -14.4804583, -14.4813795, -14.4811058, -14.4819727, -14.4823446, -14.4831314, -14.4824781, -14.4818583
1551.2999999999988, -14.0126534, -14.0125751, -14.0123758, -14.0122271, -14.0124702, -14.0124578, -14.0120153, -14.0121632, -14.0118475, -14.0119114
1551.3999999999987, -14.41224, -14.4124355, -14.4127674, -14.4124432, -14.4127254, -14.4124308, -14.412324, -14.4131813, -14.4129744, -14.4127512
